Protein A	Protein B
P53350	9606.ENSP00000334675
P53350	9606.ENSP00000281453
P53350	9606.ENSP00000321656
P53350	9606.ENSP00000378529
P53350	9606.ENSP00000287598
P53350	9606.ENSP00000302530
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000256442
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000300093
P53350	9606.ENSP00000334675
P53350	9606.ENSP00000281453
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000321656
P53350	9606.ENSP00000302530
P53350	9606.ENSP00000287598
P53350	9606.ENSP00000378529
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000300093
P53350	9606.ENSP00000321656
P53350	9606.ENSP00000302530
P53350	9606.ENSP00000287598
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000300093
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000321656
P53350	9606.ENSP00000334675
P53350	9606.ENSP00000378529
P53350	9606.ENSP00000300093
P53350	9606.ENSP00000302530
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000302530
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000334675
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000321656
P53350	9606.ENSP00000378529
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000334675
P53350	9606.ENSP00000378529
P53350	9606.ENSP00000321656
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000334675
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000361540
P53350	9606.ENSP00000479266
P53350	9606.ENSP00000378529
Q16659	9606.ENSP00000360266
Q16659	9606.ENSP00000261845
Q16659	9606.ENSP00000449381
Q16659	9606.ENSP00000449381
Q16659	9606.ENSP00000261845
Q16659	9606.ENSP00000497594
Q16659	9606.ENSP00000382390
Q16659	9606.ENSP00000361066
Q16659	9606.ENSP00000383234
Q16659	9606.ENSP00000360266
Q16659	9606.ENSP00000497594
Q16659	9606.ENSP00000413507
Q16659	9606.ENSP00000362082
Q16659	9606.ENSP00000382390
Q16659	9606.ENSP00000449381
Q16659	9606.ENSP00000362082
Q16659	9606.ENSP00000361066
Q16659	9606.ENSP00000383234
Q16659	9606.ENSP00000497594
Q16659	9606.ENSP00000449381
Q16659	9606.ENSP00000497594
Q16659	9606.ENSP00000449381
Q16659	9606.ENSP00000449381
P07947	9606.ENSP00000281092
P07947	9606.ENSP00000346671
P07947	9606.ENSP00000478927
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000346839
P07947	9606.ENSP00000382004
P07947	9606.ENSP00000494162
P07947	9606.ENSP00000489597
P07947	9606.ENSP00000401303
P07947	9606.ENSP00000362680
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000382004
P07947	9606.ENSP00000346839
P07947	9606.ENSP00000494162
P07947	9606.ENSP00000382004
P07947	9606.ENSP00000489597
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000401303
P07947	9606.ENSP00000362680
P07947	9606.ENSP00000382004
P07947	9606.ENSP00000478927
P07947	9606.ENSP00000489597
P07947	9606.ENSP00000401303
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000362680
P07947	9606.ENSP00000382004
P07947	9606.ENSP00000478927
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000494162
P07947	9606.ENSP00000489597
P07947	9606.ENSP00000401303
P07947	9606.ENSP00000478927
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000462468
P07947	9606.ENSP00000489597
P07947	9606.ENSP00000489597
P07947	9606.ENSP00000494162
P07947	9606.ENSP00000478927
P08581	9606.ENSP00000264033
P08581	9606.ENSP00000351338
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000262995
P08581	9606.ENSP00000362680
P08581	9606.ENSP00000267101
P08581	9606.ENSP00000398632
P08581	9606.ENSP00000275493
P08581	9606.ENSP00000317272
P08581	9606.ENSP00000264033
P08581	9606.ENSP00000362680
P08581	9606.ENSP00000267101
P08581	9606.ENSP00000317272
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000275493
P08581	9606.ENSP00000267101
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000317272
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000362680
P08581	9606.ENSP00000275493
P08581	9606.ENSP00000398632
P08581	9606.ENSP00000362680
P08581	9606.ENSP00000317272
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000275493
P08581	9606.ENSP00000317272
P08581	9606.ENSP00000398632
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000362680
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000362680
P08581	9606.ENSP00000398632
P08581	9606.ENSP00000351338
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000398632
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000398632
P08581	9606.ENSP00000401303
P08581	9606.ENSP00000376345
P08581	9606.ENSP00000401303
O00329	9606.ENSP00000256196
