;<hmm name>;;;
#=ID;IF4E;(Pfam);IF4E_LIG_0-0;(PLoS_CB_2010)
#=ID;IF4E;(Pfam);IF4E_LIG_0-1;(PLoS_CB_2010)
#=ID;IF4E;(Pfam);IF4E_LIG_0-22;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-23;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-0;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-31;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-11;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-8;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-6;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-14;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_0-0;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_0-1;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_0-2;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_1-0;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-7;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-0;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-6;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-2;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-13;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-4;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-37;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-29;(PLoS_CB_2010)
#=ID;Profilin;(Pfam);Profilin_LIG_0-0;(PLoS_CB_2010)
#=ID;Profilin;(Pfam);Profilin_LIG_0-1;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-0;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-6;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-17;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-9;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-1;(PLoS_CB_2010)
