"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",1,1
"PF00004.32",38,1
"PF00005.30",-73,1
"PF00005.30",-65,1
"PF00005.30",-54,1
"PF00005.30",-38,1
"PF00005.30",-37,1
"PF00005.30",-28,1
"PF00005.30",-27,1
"PF00005.30",-24,1
"PF00005.30",-18,1
"PF00005.30",-17,1
"PF00005.30",-16,1
"PF00005.30",-15,2
"PF00005.30",-14,1
"PF00005.30",-12,10
"PF00005.30",-11,6
"PF00005.30",-10,3
"PF00005.30",-9,1
"PF00005.30",-8,1
"PF00005.30",18,1
"PF00005.30",19,4
"PF00005.30",20,4
"PF00005.30",21,7
"PF00005.30",22,2
"PF00005.30",23,20
"PF00005.30",24,3
"PF00005.30",25,1
"PF00005.30",27,1
"PF00005.30",36,2
"PF00005.30",37,5
"PF00005.30",39,2
"PF00005.30",40,2
"PF00005.30",41,2
"PF00005.30",42,2
"PF00005.30",43,4
"PF00012.23",-50,1
"PF00012.23",47,1
"PF00026.26",-5,1
"PF00026.26",-4,1
"PF00044.27",10,2
"PF00044.27",13,1
"PF00069.28",-48,1
"PF00069.28",-17,1
"PF00069.28",142,1
"PF00071.25",-106,1
"PF00071.25",-85,1
"PF00071.25",-3,1
"PF00071.25",-1,1
"PF00106.28",5,1
"PF00106.28",6,1
"PF00106.28",14,1
"PF00106.28",36,1
"PF00106.28",49,1
"PF00107.29",-21,1
"PF00107.29",-10,1
"PF00107.29",-6,1
"PF00107.29",-5,6
"PF00107.29",-3,1
"PF00107.29",-1,4
"PF00107.29",16,1
"PF00107.29",18,1
"PF00117.31",-6,2
"PF00117.31",-1,1
"PF00128.27",-14,7
"PF00132.27",-22,1
"PF00132.27",1,2
"PF00149.31",-3,3
"PF00149.31",-1,2
"PF00149.31",12,2
"PF00149.31",13,4
"PF00149.31",17,1
"PF00156.30",10,1
"PF00156.30",12,1
"PF00156.30",23,1
"PF00168.33",8,1
"PF00168.33",13,1
"PF00168.33",17,1
"PF00168.33",19,1
"PF00168.33",20,1
"PF00171.25",-1,2
"PF00175.24",-1,2
"PF00175.24",30,1
"PF00175.24",38,1
"PF00176.26",142,1
"PF00176.26",154,1
"PF00176.26",188,1
"PF00176.26",219,1
"PF00176.26",272,1
"PF00176.26",767,1
"PF00225.26",-108,1
"PF00225.26",-3,1
"PF00254.31",-7,2
"PF00270.32",8,1
"PF00270.32",9,9
"PF00270.32",10,3
"PF00270.32",11,1
"PF00270.32",12,1
"PF00270.32",14,1
"PF00270.32",15,2
"PF00270.32",37,6
"PF00270.32",38,1
"PF00270.32",42,1
"PF00271.34",-62,1
"PF00271.34",-49,1
"PF00271.34",-47,1
"PF00271.34",1,25
"PF00271.34",3,3
"PF00271.34",4,22
"PF00271.34",5,7
"PF00271.34",6,2
"PF00271.34",7,3
"PF00271.34",11,1
"PF00288.29",-41,1
"PF00288.29",182,1
"PF00291.28",18,1
"PF00291.28",90,1
"PF00293.31",-6,1
"PF00293.31",-1,1
"PF00294.27",-17,1
"PF00294.27",-14,1
"PF00294.27",-4,1
"PF00300.25",-162,1
"PF00300.25",-75,1
"PF00300.25",-65,1
"PF00300.25",-62,1
"PF00300.25",21,1
"PF00300.25",25,1
"PF00300.25",53,1
"PF00326.24",-32,1
"PF00326.24",-18,1
"PF00326.24",-17,1
"PF00370.24",-88,1
"PF00370.24",42,1
"PF00370.24",59,1
"PF00394.25",14,1
"PF00394.25",16,1
"PF00481.24",4,1
"PF00481.24",8,1
"PF00485.21",-14,1
"PF00485.21",-1,1
"PF00488.24",-40,1
"PF00488.24",-1,1
"PF00501.31",-62,1
"PF00501.31",-52,1
"PF00501.31",-50,1
"PF00501.31",-24,1
"PF00501.31",-22,1
"PF00535.29",6,1
"PF00535.29",30,1
"PF00561.23",-7,1
"PF00561.23",-6,1
"PF00675.23",-8,1
"PF00675.23",25,1
"PF00675.23",44,1
"PF00696.31",10,1
"PF00696.31",54,1
"PF00702.29",-270,3
"PF00702.29",-247,1
"PF00702.29",75,1
"PF00702.29",77,1
"PF00722.24",-18,1
"PF00722.24",12,1
"PF00722.24",16,1
"PF00722.24",17,1
"PF00782.23",-51,1
"PF00782.23",-7,1
"PF00814.28",-32,1
"PF00814.28",-22,1
"PF00849.25",3,1
"PF00849.25",32,1
"PF00849.25",84,1
"PF00849.25",85,1
"PF00850.22",-24,1
"PF00850.22",-22,1
"PF00850.22",-14,2
"PF00850.22",-13,1
"PF00881.27",15,2
"PF00890.27",-1,2
"PF00982.24",-315,1
"PF00982.24",-282,1
"PF00982.24",-43,1
"PF01053.23",-69,1
"PF01053.23",-66,1
"PF01053.23",-64,1
"PF01073.22",50,1
"PF01073.22",88,1
"PF01174.22",-1,3
"PF01198.22",1,2
"PF01210.26",27,2
"PF01255.22",-1,2
"PF01370.24",-17,1
"PF01370.24",-1,1
"PF01370.24",48,1
"PF01370.24",49,1
"PF01370.24",78,1
"PF01416.23",-110,1
"PF01416.23",-92,1
"PF01416.23",-14,1
"PF01433.23",-11,2
"PF01433.23",-9,1
"PF01459.25",1,3
"PF01467.29",-20,1
"PF01467.29",-1,3
"PF01565.26",28,1
"PF01565.26",29,2
"PF01575.22",1,2
"PF01663.25",-131,1
"PF01663.25",-130,1
"PF01663.25",-36,1
"PF01663.25",10,1
"PF01663.25",12,1
"PF01704.21",1,2
"PF01704.21",17,1
"PF01822.22",3,3
"PF01866.20",-1,2
"PF02133.18",11,3
"PF02142.25",-7,1
"PF02142.25",-5,2
"PF02146.20",-1,2
"PF02146.20",13,1
"PF02146.20",14,2
"PF02146.20",19,1
"PF02358.19",8,1
"PF02358.19",10,1
"PF02450.18",-22,1
"PF02450.18",158,1
"PF02463.22",-16,1
"PF02463.22",14,1
"PF02518.29",-14,1
"PF02518.29",29,1
"PF02518.29",42,1
"PF02518.29",87,1
"PF02582.17",-232,1
"PF02582.17",-71,1
"PF02582.17",-46,1
"PF02769.25",3,1
"PF02769.25",15,1
"PF02775.24",-21,1
"PF02775.24",-1,3
"PF02775.24",21,1
"PF02775.24",23,1
"PF02775.24",25,1
"PF02775.24",27,1
"PF02775.24",53,1
"PF02933.20",-17,1
"PF02933.20",-10,1
"PF02990.19",-27,1
"PF02990.19",-24,1
"PF02990.19",-6,1
"PF02990.19",18,1
"PF02990.19",21,2
"PF03029.20",-1,2
"PF03144.28",-172,1
"PF03144.28",-14,1
"PF03144.28",-13,1
"PF03144.28",-12,1
"PF03144.28",-9,1
"PF03144.28",-7,1
"PF03159.21",18,1
"PF03159.21",35,1
"PF03162.16",38,1
"PF03162.16",87,1
"PF03198.17",65,1
"PF03198.17",71,1
"PF03372.26",-1,1
"PF03372.26",1,4
"PF03372.26",14,1
"PF03856.16",4,2
"PF03856.16",5,1
"PF03856.16",7,1
"PF03876.20",1,2
"PF04072.17",5,1
"PF04072.17",7,1
"PF04427.21",-7,1
"PF04427.21",-1,3
"PF04488.18",-11,1
"PF04488.18",-7,3
"PF04488.18",19,1
"PF04488.18",20,1
"PF04851.18",14,1
"PF04851.18",15,2
"PF04851.18",16,1
"PF04851.18",17,1
"PF04851.18",41,1
"PF04851.18",60,1
"PF05047.19",-10,2
"PF05063.17",-16,1
"PF05063.17",-10,1
"PF05193.24",-163,1
"PF05193.24",-162,1
"PF05193.24",-152,1
"PF05193.24",59,2
"PF05193.24",61,1
"PF05193.24",62,1
"PF05193.24",66,1
"PF05193.24",69,1
"PF05193.24",128,1
"PF06398.14",1,4
"PF07685.17",-29,2
"PF07714.20",-45,1
"PF07714.20",-18,1
"PF07714.20",146,1
"PF07731.17",-20,1
"PF07731.17",-19,1
"PF07731.17",-13,1
"PF07732.18",-4,1
"PF07732.18",-1,1
"PF07819.16",33,1
"PF07819.16",165,1
"PF07993.15",-19,1
"PF07993.15",-3,1
"PF07993.15",85,1
"PF07993.15",92,1
"PF08030.15",11,5
"PF08030.15",13,1
"PF08030.15",15,1
"PF08154.15",10,1
"PF08154.15",16,1
"PF08477.16",-106,1
"PF08477.16",-1,1
"PF08543.15",-70,1
"PF08543.15",-65,1
"PF08543.15",-1,3
"PF08732.13",47,1
"PF08732.13",64,1
"PF09084.14",-7,3
"PF09295.13",-80,1
"PF09295.13",-42,1
"PF09295.13",-8,1
"PF09295.13",-7,1
"PF10290.12",255,1
"PF10290.12",349,1
