"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",-49,1
"PF00004.32",-1,1
"PF00004.32",5,1
"PF00004.32",9,1
"PF00004.32",59,1
"PF00004.32",64,1
"PF00004.32",67,1
"PF00005.30",-46,3
"PF00005.30",-43,1
"PF00005.30",-42,3
"PF00005.30",-41,1
"PF00005.30",-39,1
"PF00005.30",-38,1
"PF00005.30",-34,1
"PF00005.30",-33,1
"PF00005.30",-32,1
"PF00005.30",-30,1
"PF00005.30",-29,1
"PF00005.30",-24,2
"PF00005.30",-23,2
"PF00005.30",-22,2
"PF00005.30",-21,23
"PF00005.30",-20,2
"PF00005.30",-19,4
"PF00005.30",-18,2
"PF00005.30",-17,2
"PF00005.30",-16,6
"PF00005.30",-15,7
"PF00005.30",-14,6
"PF00005.30",-13,20
"PF00005.30",-12,5
"PF00005.30",-11,14
"PF00005.30",-10,21
"PF00005.30",-9,3
"PF00005.30",-8,5
"PF00005.30",1,1
"PF00005.30",18,2
"PF00005.30",19,4
"PF00005.30",20,11
"PF00005.30",21,47
"PF00005.30",22,23
"PF00005.30",23,24
"PF00005.30",24,16
"PF00005.30",25,7
"PF00005.30",26,9
"PF00005.30",27,1
"PF00005.30",28,1
"PF00005.30",29,1
"PF00005.30",33,1
"PF00005.30",36,4
"PF00005.30",37,2
"PF00005.30",38,12
"PF00005.30",39,2
"PF00005.30",40,1
"PF00005.30",41,26
"PF00005.30",42,6
"PF00005.30",43,1
"PF00005.30",44,4
"PF00005.30",46,1
"PF00005.30",50,1
"PF00005.30",134,1
"PF00005.30",152,1
"PF00005.30",153,2
"PF00013.32",15,1
"PF00013.32",20,1
"PF00024.29",13,2
"PF00024.29",14,1
"PF00026.26",-99,1
"PF00026.26",-87,1
"PF00026.26",-58,1
"PF00026.26",-10,1
"PF00026.26",-9,1
"PF00026.26",-8,2
"PF00026.26",-7,4
"PF00026.26",-6,1
"PF00026.26",-1,1
"PF00026.26",1,3
"PF00027.32",17,1
"PF00027.32",23,1
"PF00027.32",338,1
"PF00044.27",9,1
"PF00044.27",10,1
"PF00067.25",-234,1
"PF00067.25",1,7
"PF00067.25",3,5
"PF00067.25",4,3
"PF00067.25",5,3
"PF00067.25",6,2
"PF00067.25",7,1
"PF00067.25",8,3
"PF00067.25",9,3
"PF00067.25",10,8
"PF00067.25",11,3
"PF00067.25",13,4
"PF00067.25",14,2
"PF00067.25",15,6
"PF00067.25",16,6
"PF00067.25",17,6
"PF00067.25",18,15
"PF00067.25",19,4
"PF00067.25",20,3
"PF00067.25",21,1
"PF00067.25",22,1
"PF00067.25",23,1
"PF00067.25",219,1
"PF00069.28",-288,1
"PF00069.28",-164,1
"PF00069.28",-158,1
"PF00069.28",-118,1
"PF00069.28",-85,1
"PF00069.28",-58,1
"PF00069.28",-3,1
"PF00069.28",38,1
"PF00071.25",-6,1
"PF00071.25",54,1
"PF00072.27",-1,1
"PF00072.27",24,1
"PF00076.25",1,9
"PF00076.25",9,1
"PF00076.25",25,1
"PF00080.23",-6,2
"PF00080.23",-4,2
"PF00082.25",-72,1
"PF00082.25",-58,1
"PF00082.25",1,2
"PF00082.25",4,1
"PF00082.25",5,1
"PF00082.25",6,1
"PF00082.25",12,1
"PF00082.25",16,1
"PF00082.25",18,2
"PF00082.25",19,1
"PF00082.25",22,6
"PF00082.25",25,1
"PF00082.25",30,1
"PF00085.23",-3,1
"PF00085.23",-1,1
"PF00089.29",-5,1
"PF00089.29",-1,2
"PF00106.28",-49,1
"PF00106.28",23,1
"PF00106.28",24,1
"PF00106.28",35,1
"PF00106.28",43,3
"PF00106.28",44,2
"PF00106.28",45,1
"PF00106.28",59,1
"PF00106.28",62,1
"PF00106.28",71,1
"PF00107.29",-21,3
"PF00107.29",-20,6
"PF00107.29",-7,1
"PF00107.29",-6,2
"PF00107.29",-5,8
"PF00107.29",-4,7
"PF00107.29",-3,3
"PF00107.29",-1,2
"PF00112.26",-24,1
"PF00112.26",1,1
"PF00112.26",3,2
"PF00112.26",9,1
"PF00117.31",-6,5
"PF00117.31",-1,1
"PF00120.27",-37,1
"PF00120.27",-36,1
"PF00122.23",1,1
"PF00122.23",47,1
"PF00132.27",-16,5
"PF00132.27",-10,1
"PF00132.27",1,2
"PF00132.27",3,4
"PF00132.27",5,2
"PF00132.27",8,1
"PF00132.27",14,1
"PF00133.25",1,1
"PF00133.25",3,1
"PF00139.22",-74,1
"PF00139.22",-25,1
"PF00139.22",21,1
"PF00139.22",28,1
"PF00139.22",30,1
"PF00149.31",-9,2
"PF00149.31",-8,1
"PF00149.31",-6,1
"PF00149.31",-3,6
"PF00149.31",10,1
"PF00149.31",11,8
"PF00149.31",12,2
"PF00149.31",15,3
"PF00149.31",16,1
"PF00149.31",20,1
"PF00149.31",22,1
"PF00149.31",37,1
"PF00149.31",50,1
"PF00149.31",78,1
"PF00150.21",-183,2
"PF00150.21",23,2
"PF00155.24",-41,1
"PF00155.24",-40,1
"PF00155.24",-15,1
"PF00156.30",7,2
"PF00156.30",13,1
"PF00160.24",-72,1
"PF00160.24",-1,1
"PF00161.22",-53,1
"PF00161.22",-17,1
"PF00161.22",-3,1
"PF00168.33",6,1
"PF00168.33",7,1
"PF00168.33",10,5
"PF00168.33",11,4
"PF00168.33",12,4
"PF00168.33",13,4
"PF00168.33",14,3
"PF00168.33",15,1
"PF00168.33",16,2
"PF00168.33",17,9
"PF00168.33",19,1
"PF00168.33",21,1
"PF00168.33",22,3
"PF00168.33",24,1
"PF00168.33",25,2
"PF00168.33",27,2
"PF00168.33",33,1
"PF00168.33",56,1
"PF00171.25",-1,5
"PF00171.25",70,1
"PF00171.25",71,1
"PF00175.24",-1,9
"PF00175.24",27,2
"PF00175.24",30,3
"PF00175.24",32,1
"PF00176.26",-19,1
"PF00176.26",10,1
"PF00176.26",31,1
"PF00176.26",123,1
"PF00176.26",133,1
"PF00176.26",152,1
"PF00176.26",167,1
"PF00176.26",186,1
"PF00176.26",187,1
"PF00176.26",229,1
"PF00176.26",243,1
"PF00176.26",260,1
"PF00176.26",262,1
"PF00176.26",277,1
"PF00176.26",318,1
"PF00182.22",1,9
"PF00201.21",-21,1
"PF00201.21",-16,1
"PF00201.21",-11,2
"PF00201.21",-3,1
"PF00201.21",-1,2
"PF00201.21",3,2
"PF00202.24",-24,1
"PF00202.24",7,1
"PF00221.22",-5,2
"PF00225.26",-48,1
"PF00225.26",-44,1
"PF00225.26",-32,1
"PF00225.26",-26,2
"PF00225.26",-25,1
"PF00225.26",-1,1
"PF00240.26",-10,1
"PF00240.26",-4,1
"PF00254.31",-10,1
"PF00254.31",-9,1
"PF00254.31",-6,1
"PF00254.31",-5,2
"PF00254.31",1,3
"PF00270.32",4,1
"PF00270.32",8,7
"PF00270.32",9,15
"PF00270.32",10,8
"PF00270.32",11,5
"PF00270.32",12,4
"PF00270.32",13,1
"PF00270.32",15,1
"PF00270.32",16,4
"PF00270.32",17,1
"PF00270.32",40,1
"PF00270.32",77,1
"PF00270.32",103,1
"PF00271.34",-49,1
"PF00271.34",-27,1
"PF00271.34",1,44
"PF00271.34",3,12
"PF00271.34",4,10
"PF00271.34",5,22
"PF00271.34",6,3
"PF00271.34",7,2
"PF00271.34",12,1
"PF00271.34",14,1
"PF00293.31",-108,1
"PF00293.31",-16,1
"PF00293.31",8,1
"PF00294.27",-53,1
"PF00294.27",-44,1
"PF00294.27",-41,1
"PF00294.27",-36,1
"PF00294.27",-34,1
"PF00294.27",-33,1
"PF00294.27",-32,1
"PF00294.27",-27,1
"PF00294.27",-17,1
"PF00294.27",-16,1
"PF00294.27",-15,1
"PF00294.27",-1,1
"PF00295.20",-30,1
"PF00295.20",-28,1
"PF00295.20",-26,1
"PF00295.20",-9,1
"PF00295.20",-6,1
"PF00295.20",-5,1
"PF00295.20",1,12
"PF00295.20",3,6
"PF00295.20",4,2
"PF00295.20",6,1
"PF00295.20",8,2
"PF00295.20",10,2
"PF00295.20",12,4
"PF00295.20",16,1
"PF00295.20",19,1
"PF00295.20",31,1
"PF00300.25",12,1
"PF00300.25",17,1
"PF00300.25",25,1
"PF00300.25",41,1
"PF00300.25",99,1
"PF00305.22",9,5
"PF00305.22",15,4
"PF00305.22",16,1
"PF00314.20",-1,16
"PF00314.20",18,1
"PF00314.20",31,1
"PF00314.20",33,1
"PF00326.24",-69,1
"PF00326.24",-43,1
"PF00326.24",-16,1
"PF00326.24",-14,1
"PF00326.24",-13,1
"PF00326.24",-12,1
"PF00326.24",-11,2
"PF00326.24",6,1
"PF00331.23",1,1
"PF00331.23",17,1
"PF00350.26",30,1
"PF00350.26",31,1
"PF00365.23",-1,1
"PF00365.23",82,1
"PF00378.23",-36,1
"PF00378.23",-33,1
"PF00383.26",30,1
"PF00383.26",35,1
"PF00389.33",-28,1
"PF00389.33",-16,1
"PF00389.33",-9,1
"PF00389.33",-6,1
"PF00391.26",-20,2
"PF00394.25",-36,3
"PF00394.25",-19,1
"PF00394.25",1,2
