"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",-53,1
"PF00004.32",-3,1
"PF00004.32",1,1
"PF00004.32",37,1
"PF00004.32",39,1
"PF00005.30",-81,1
"PF00005.30",-33,1
"PF00005.30",-28,1
"PF00005.30",-26,1
"PF00005.30",-18,1
"PF00005.30",-17,1
"PF00005.30",-16,1
"PF00005.30",-15,3
"PF00005.30",-14,1
"PF00005.30",-13,2
"PF00005.30",-12,6
"PF00005.30",-11,4
"PF00005.30",-10,1
"PF00005.30",-9,2
"PF00005.30",18,1
"PF00005.30",19,5
"PF00005.30",20,3
"PF00005.30",21,5
"PF00005.30",22,5
"PF00005.30",23,12
"PF00005.30",24,3
"PF00005.30",25,1
"PF00005.30",26,2
"PF00005.30",36,2
"PF00005.30",37,4
"PF00005.30",38,1
"PF00005.30",39,1
"PF00005.30",40,2
"PF00005.30",41,4
"PF00005.30",43,4
"PF00026.26",-71,1
"PF00026.26",-63,1
"PF00026.26",-44,1
"PF00026.26",-5,3
"PF00026.26",-4,1
"PF00067.25",12,2
"PF00080.23",-8,2
"PF00080.23",-4,1
"PF00106.28",8,1
"PF00106.28",23,1
"PF00106.28",30,1
"PF00107.29",-21,1
"PF00107.29",-6,8
"PF00107.29",-5,2
"PF00107.29",-4,2
"PF00107.29",-3,2
"PF00107.29",-1,3
"PF00107.29",5,1
"PF00107.29",6,3
"PF00107.29",11,1
"PF00107.29",17,1
"PF00117.31",-6,1
"PF00117.31",-1,1
"PF00122.23",5,1
"PF00122.23",46,1
"PF00132.27",-22,1
"PF00132.27",1,1
"PF00149.31",-3,2
"PF00149.31",12,1
"PF00149.31",13,3
"PF00149.31",18,1
"PF00149.31",22,1
"PF00155.24",-40,1
"PF00155.24",-18,1
"PF00156.30",15,1
"PF00156.30",17,1
"PF00168.33",4,1
"PF00168.33",11,1
"PF00168.33",18,1
"PF00168.33",22,1
"PF00168.33",29,1
"PF00171.25",-4,1
"PF00171.25",-1,3
"PF00171.25",81,1
"PF00175.24",-1,3
"PF00175.24",30,1
"PF00176.26",141,1
"PF00176.26",156,1
"PF00176.26",158,1
"PF00176.26",182,1
"PF00176.26",224,1
"PF00176.26",276,1
"PF00176.26",381,1
"PF00206.23",15,2
"PF00225.26",-72,1
"PF00225.26",-36,1
"PF00270.32",8,2
"PF00270.32",9,7
"PF00270.32",10,1
"PF00270.32",11,3
"PF00270.32",12,1
"PF00270.32",13,3
"PF00270.32",15,3
"PF00270.32",19,1
"PF00270.32",36,1
"PF00271.34",-91,1
"PF00271.34",-45,1
"PF00271.34",-30,1
"PF00271.34",-15,1
"PF00271.34",1,23
"PF00271.34",3,3
"PF00271.34",4,1
"PF00271.34",5,10
"PF00271.34",6,3
"PF00271.34",7,3
"PF00271.34",9,1
"PF00288.29",-40,1
"PF00288.29",-34,1
"PF00291.28",15,2
"PF00294.27",-15,1
"PF00294.27",-7,1
"PF00294.27",4,1
"PF00300.25",-54,1
"PF00300.25",-33,1
"PF00300.25",6,1
"PF00332.21",-105,1
"PF00332.21",-32,1
"PF00389.33",-25,2
"PF00389.33",-11,1
"PF00389.33",-3,1
"PF00445.21",25,2
"PF00481.24",-14,1
"PF00481.24",9,1
"PF00483.26",71,1
"PF00483.26",77,1
"PF00488.24",-32,1
"PF00488.24",-1,1
"PF00501.31",-55,1
"PF00501.31",-54,1
"PF00501.31",36,1
"PF00561.23",-19,1
"PF00561.23",8,1
"PF00561.23",31,1
"PF00590.23",12,2
"PF00590.23",13,1
"PF00622.31",-14,1
"PF00622.31",172,1
"PF00679.27",-58,1
"PF00679.27",-24,1
"PF00702.29",-258,1
"PF00702.29",-216,1
"PF00702.29",81,1
"PF00722.24",12,1
"PF00722.24",13,1
"PF00722.24",16,1
"PF00724.23",-3,3
"PF00743.22",-1,2
"PF00743.22",13,1
"PF00743.22",44,1
"PF00743.22",77,1
"PF00743.22",151,1
"PF00849.25",84,1
"PF00849.25",113,1
"PF00850.22",-52,1
"PF00850.22",-14,3
"PF00884.26",-171,1
"PF00884.26",15,1
"PF00890.27",-1,2
"PF00928.24",7,1
"PF00928.24",16,1
"PF00928.24",26,1
"PF00928.24",61,1
"PF00928.24",71,1
"PF00982.24",-228,1
"PF00982.24",-21,1
"PF01073.22",-12,1
"PF01073.22",7,1
"PF01073.22",8,1
"PF01073.22",11,1
"PF01073.22",78,1
"PF01088.24",9,1
"PF01088.24",30,1
"PF01253.25",3,1
"PF01253.25",4,1
"PF01253.25",12,1
"PF01255.22",-1,2
"PF01370.24",-10,1
"PF01370.24",1,1
"PF01370.24",3,1
"PF01370.24",7,1
"PF01370.24",48,1
"PF01416.23",-123,1
"PF01416.23",-15,1
"PF01459.25",1,2
"PF01501.23",-1,2
"PF01553.24",17,1
"PF01553.24",19,1
"PF01553.24",25,1
"PF01553.24",29,1
"PF01556.21",-1,2
"PF01565.26",27,1
"PF01565.26",29,3
"PF01575.22",1,2
"PF01663.25",-134,1
"PF01663.25",-131,1
"PF01663.25",-120,1
"PF01663.25",-49,1
"PF01663.25",-35,1
"PF01738.21",-34,1
"PF01738.21",-1,1
"PF01764.28",-65,1
"PF01764.28",4,1
"PF01866.20",-1,3
"PF02142.25",-7,1
"PF02142.25",-5,1
"PF02146.20",-1,4
"PF02146.20",12,1
"PF02146.20",13,1
"PF02146.20",14,1
"PF02146.20",20,1
"PF02383.21",22,1
"PF02383.21",40,1
"PF02463.22",-24,1
"PF02463.22",13,1
"PF02518.29",-11,1
"PF02518.29",-10,1
"PF02518.29",23,1
"PF02518.29",69,1
"PF02518.29",114,1
"PF02525.20",-24,1
"PF02525.20",-10,1
"PF02582.17",-153,1
"PF02582.17",-83,1
"PF02582.17",-37,1
"PF02668.19",1,3
"PF02775.24",-8,1
"PF02775.24",-1,1
"PF02775.24",46,1
"PF02775.24",53,1
"PF02775.24",60,1
"PF02990.19",-20,1
"PF02990.19",-6,1
"PF02990.19",18,1
"PF02990.19",28,1
"PF03061.25",20,1
"PF03061.25",29,1
"PF03144.28",-97,1
"PF03144.28",-15,1
"PF03144.28",-13,1
"PF03144.28",-10,1
"PF03144.28",-8,1
"PF03144.28",-7,1
"PF03184.22",-37,1
"PF03184.22",-36,1
"PF03184.22",-34,1
"PF03184.22",-33,1
"PF03358.18",-16,1
