"Domain","Distance.Domain.Motif","ocurrences"
"PF00001.24",-27,5
"PF00001.24",-26,7
"PF00001.24",-24,13
"PF00001.24",-23,1
"PF00003.25",-3,1
"PF00003.25",-1,2
"PF00004.32",1,1
"PF00004.32",10,1
"PF00005.30",-79,2
"PF00005.30",-64,1
"PF00005.30",-40,1
"PF00005.30",-32,1
"PF00005.30",-31,1
"PF00005.30",-29,1
"PF00005.30",-24,1
"PF00005.30",-22,1
"PF00005.30",-20,1
"PF00005.30",-19,1
"PF00005.30",-18,2
"PF00005.30",-17,3
"PF00005.30",-16,2
"PF00005.30",-14,1
"PF00005.30",-13,1
"PF00005.30",-12,12
"PF00005.30",-11,12
"PF00005.30",-10,22
"PF00005.30",-9,4
"PF00005.30",-8,4
"PF00005.30",18,2
"PF00005.30",19,9
"PF00005.30",20,7
"PF00005.30",21,20
"PF00005.30",22,8
"PF00005.30",23,4
"PF00005.30",24,10
"PF00005.30",26,1
"PF00005.30",36,6
"PF00005.30",37,1
"PF00005.30",38,8
"PF00005.30",39,7
"PF00005.30",40,1
"PF00005.30",50,1
"PF00008.30",1173,1
"PF00008.30",2006,1
"PF00009.30",-10,1
"PF00009.30",-9,1
"PF00009.30",6,1
"PF00013.32",4,1
"PF00013.32",8,1
"PF00013.32",9,1
"PF00017.27",20,1
"PF00017.27",25,1
"PF00025.24",-7,1
"PF00025.24",-1,1
"PF00026.26",-46,1
"PF00026.26",31,1
"PF00028.20",-85,1
"PF00028.20",-81,1
"PF00028.20",-34,1
"PF00028.20",-18,2
"PF00028.20",-17,1
"PF00028.20",-15,1
"PF00028.20",-7,1
"PF00028.20",-6,3
"PF00028.20",-5,1
"PF00028.20",-4,2
"PF00028.20",-3,1
"PF00028.20",-1,36
"PF00028.20",1,1
"PF00028.20",8,1
"PF00028.20",9,3
"PF00028.20",10,1
"PF00028.20",13,1
"PF00028.20",16,1
"PF00028.20",160,1
"PF00030.22",-11,1
"PF00030.22",9,1
"PF00030.22",47,1
"PF00041.24",-867,1
"PF00041.24",-16,1
"PF00041.24",-10,1
"PF00041.24",-7,1
"PF00041.24",-6,1
"PF00041.24",-4,1
"PF00041.24",-1,13
"PF00041.24",1,2
"PF00041.24",4,3
"PF00041.24",5,4
"PF00041.24",6,1
"PF00041.24",7,2
"PF00041.24",8,1
"PF00041.24",15,1
"PF00041.24",280,1
"PF00041.24",324,1
