"Domain","Distance.Domain.Motif","ocurrences"
"PF00001.24",-28,1
"PF00001.24",-27,5
"PF00001.24",-26,33
"PF00001.24",-25,94
"PF00001.24",-24,1
"PF00003.25",-1,30
"PF00004.32",1,1
"PF00004.32",10,1
"PF00004.32",36,1
"PF00004.32",126,1
"PF00004.32",177,1
"PF00005.30",-82,1
"PF00005.30",-55,1
"PF00005.30",-42,1
"PF00005.30",-35,1
"PF00005.30",-24,1
"PF00005.30",-21,2
"PF00005.30",-20,3
"PF00005.30",-18,1
"PF00005.30",-17,3
"PF00005.30",-16,4
"PF00005.30",-15,4
"PF00005.30",-14,1
"PF00005.30",-13,7
"PF00005.30",-12,12
"PF00005.30",-11,18
"PF00005.30",-10,16
"PF00005.30",-9,2
"PF00005.30",-8,2
"PF00005.30",18,2
"PF00005.30",19,5
"PF00005.30",20,5
"PF00005.30",21,22
"PF00005.30",22,13
"PF00005.30",23,6
"PF00005.30",24,9
"PF00005.30",25,1
"PF00005.30",26,1
"PF00005.30",36,6
"PF00005.30",37,1
"PF00005.30",38,7
"PF00005.30",39,9
"PF00005.30",40,2
"PF00013.32",8,1
"PF00013.32",9,1
"PF00013.32",13,1
"PF00028.20",-108,1
"PF00028.20",-16,1
"PF00028.20",-15,1
"PF00028.20",-12,1
"PF00028.20",-10,1
"PF00028.20",-8,2
"PF00028.20",-7,2
"PF00028.20",-6,1
"PF00028.20",-4,2
"PF00028.20",-3,3
"PF00028.20",-1,23
"PF00028.20",1,1
"PF00028.20",7,1
"PF00028.20",10,1
"PF00028.20",12,2
"PF00028.20",13,1
"PF00028.20",17,1
"PF00028.20",24,1
"PF00030.22",13,1
"PF00030.22",16,1
"PF00041.24",-12,1
"PF00041.24",-10,1
"PF00041.24",-3,1
"PF00041.24",-1,5
"PF00041.24",1,3
"PF00041.24",4,4
"PF00041.24",5,3
"PF00041.24",6,1
"PF00041.24",7,1
"PF00041.24",8,1
"PF00041.24",9,2
"PF00041.24",442,1
"PF00041.24",510,1
"PF00041.24",732,1
"PF00041.24",1159,1
"PF00047.28",-12,1
"PF00047.28",-4,1
"PF00047.28",1,2
"PF00047.28",5,3
"PF00047.28",6,1
"PF00047.28",7,2
"PF00047.28",8,2
"PF00047.28",9,1
"PF00047.28",10,2
"PF00047.28",11,4
"PF00052.21",-44,2
"PF00052.21",-41,1
"PF00054.26",-53,1
"PF00054.26",-17,1
"PF00054.26",-7,1
"PF00054.26",-6,2
"PF00054.26",-2,6
"PF00054.26",-1,49
"PF00054.26",1166,1
"PF00067.25",-1,1
"PF00067.25",1,7
"PF00067.25",5,1
"PF00067.25",6,1
"PF00067.25",7,1
"PF00067.25",15,1
"PF00067.25",21,1
"PF00068.22",8,2
"PF00069.28",-23,1
"PF00069.28",-10,1
"PF00069.28",-7,1
"PF00069.28",-1,1
"PF00071.25",-1,2
"PF00071.25",1,1
"PF00076.25",12,1
"PF00076.25",13,1
"PF00080.23",-10,1
"PF00080.23",-5,1
"PF00080.23",-4,1
"PF00089.29",1,1
"PF00089.29",6,2
"PF00089.29",18,1
"PF00090.22",-3,1
"PF00090.22",-2,2
"PF00090.22",-1,18
"PF00092.31",1,1
"PF00092.31",3,1
"PF00092.31",9,1
"PF00092.31",10,2
"PF00092.31",15,1
"PF00092.31",16,1
"PF00092.31",17,1
"PF00100.26",-1,1
"PF00100.26",28,1
"PF00100.26",29,1
"PF00100.26",47,1
"PF00106.28",27,2
"PF00106.28",29,1
"PF00106.28",30,1
"PF00106.28",37,1
"PF00106.28",38,2
"PF00106.28",41,1
"PF00106.28",42,1
"PF00106.28",58,1
"PF00106.28",61,1
"PF00106.28",62,3
"PF00106.28",63,2
"PF00106.28",73,2
"PF00107.29",-21,1
"PF00107.29",-20,4
"PF00107.29",-7,2
"PF00107.29",-6,2
"PF00107.29",-5,3
"PF00107.29",-4,5
"PF00107.29",-3,1
"PF00112.26",-20,1
"PF00112.26",-19,1
"PF00117.31",-7,1
"PF00117.31",-6,1
"PF00117.31",-1,1
"PF00132.27",-1,1
"PF00132.27",1,1
"PF00132.27",6,1
"PF00149.31",-7,2
"PF00149.31",-3,3
"PF00149.31",-1,3
"PF00149.31",10,2
"PF00149.31",11,1
"PF00149.31",13,1
"PF00149.31",15,3
"PF00149.31",16,2
"PF00149.31",17,3
"PF00168.33",-13,2
"PF00168.33",-10,3
"PF00168.33",-9,3
"PF00168.33",-8,3
"PF00168.33",-7,1
"PF00168.33",-6,8
"PF00168.33",-5,2
"PF00168.33",-4,1
"PF00168.33",-3,2
"PF00168.33",-1,1
"PF00168.33",5,1
"PF00168.33",6,2
"PF00168.33",7,1
"PF00168.33",8,1
"PF00168.33",9,2
"PF00168.33",10,3
"PF00168.33",11,1
"PF00168.33",12,3
"PF00168.33",13,2
"PF00168.33",14,1
"PF00168.33",15,1
"PF00168.33",16,4
"PF00168.33",19,1
"PF00168.33",20,4
"PF00168.33",21,1
"PF00168.33",24,1
"PF00169.32",-9,1
"PF00169.32",-1,4
"PF00171.25",-7,1
"PF00171.25",-3,1
"PF00171.25",-1,4
"PF00171.25",25,1
"PF00171.25",72,1
"PF00175.24",-1,4
"PF00175.24",12,1
"PF00175.24",30,1
"PF00175.24",31,1
"PF00176.26",127,1
"PF00176.26",136,1
"PF00176.26",145,1
"PF00176.26",153,1
"PF00176.26",160,1
"PF00176.26",166,1
"PF00176.26",178,1
"PF00176.26",186,1
