"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",-29,1
"PF00004.32",-23,1
"PF00004.32",-1,4
"PF00004.32",4,2
"PF00004.32",26,1
"PF00004.32",50,1
"PF00004.32",71,1
"PF00005.30",-51,1
"PF00005.30",-47,1
"PF00005.30",-45,1
"PF00005.30",-43,1
"PF00005.30",-42,3
"PF00005.30",-40,3
"PF00005.30",-35,3
"PF00005.30",-32,2
"PF00005.30",-28,1
"PF00005.30",-27,2
"PF00005.30",-25,4
"PF00005.30",-24,5
"PF00005.30",-23,4
"PF00005.30",-22,5
"PF00005.30",-21,30
"PF00005.30",-20,3
"PF00005.30",-19,5
"PF00005.30",-18,2
"PF00005.30",-17,13
"PF00005.30",-16,13
"PF00005.30",-15,12
"PF00005.30",-14,18
"PF00005.30",-13,51
"PF00005.30",-12,26
"PF00005.30",-11,43
"PF00005.30",-10,30
"PF00005.30",-9,6
"PF00005.30",-8,6
"PF00005.30",9,1
"PF00005.30",18,4
"PF00005.30",19,11
"PF00005.30",20,24
"PF00005.30",21,118
"PF00005.30",22,21
"PF00005.30",23,48
"PF00005.30",24,41
"PF00005.30",25,5
"PF00005.30",26,19
"PF00005.30",29,1
"PF00005.30",30,1
"PF00005.30",33,2
"PF00005.30",36,9
"PF00005.30",37,4
"PF00005.30",38,27
"PF00005.30",39,5
"PF00005.30",40,3
"PF00005.30",41,36
"PF00005.30",42,7
"PF00005.30",43,1
"PF00005.30",44,8
"PF00005.30",46,2
"PF00005.30",63,1
"PF00005.30",153,1
"PF00009.30",-21,1
"PF00009.30",-14,1
"PF00009.30",9,1
"PF00022.22",-17,1
"PF00022.22",4,1
"PF00026.26",-84,2
"PF00026.26",-72,1
"PF00026.26",-56,1
"PF00026.26",-53,1
"PF00026.26",-51,2
"PF00026.26",-50,2
"PF00026.26",-49,2
"PF00026.26",-45,1
"PF00026.26",-43,1
"PF00026.26",-17,1
"PF00026.26",-15,1
"PF00026.26",-13,1
"PF00026.26",-10,1
"PF00026.26",-8,1
"PF00026.26",-7,11
"PF00026.26",1,3
"PF00027.32",-1,1
"PF00027.32",19,1
"PF00044.27",9,1
"PF00044.27",10,1
"PF00044.27",11,1
"PF00044.27",13,2
"PF00067.25",-117,1
"PF00067.25",-104,1
"PF00067.25",-66,1
"PF00067.25",-38,1
"PF00067.25",-37,1
"PF00067.25",-1,1
"PF00067.25",1,15
"PF00067.25",3,3
"PF00067.25",5,8
"PF00067.25",6,6
"PF00067.25",7,1
"PF00067.25",8,7
"PF00067.25",9,5
"PF00067.25",10,4
"PF00067.25",11,6
"PF00067.25",12,1
"PF00067.25",13,5
"PF00067.25",14,2
"PF00067.25",15,3
"PF00067.25",16,3
"PF00067.25",17,3
"PF00067.25",18,6
"PF00067.25",19,7
"PF00067.25",20,6
"PF00067.25",21,1
"PF00067.25",24,1
"PF00067.25",48,1
"PF00069.28",-746,1
"PF00069.28",-459,1
"PF00069.28",-149,1
"PF00069.28",-61,2
"PF00069.28",-30,1
"PF00069.28",-27,1
"PF00069.28",-23,1
"PF00069.28",-19,1
"PF00069.28",-17,1
"PF00069.28",1,1
"PF00069.28",38,2
"PF00071.25",-1,1
"PF00071.25",4,1
"PF00071.25",19,1
"PF00071.25",60,2
"PF00075.27",-1,2
"PF00075.27",48,1
"PF00076.25",-237,1
"PF00076.25",-50,1
"PF00076.25",-24,1
"PF00076.25",1,13
"PF00076.25",9,2
"PF00076.25",27,2
"PF00078.30",-100,1
"PF00078.30",-98,1
"PF00080.23",-5,3
"PF00080.23",-4,2
"PF00082.25",-20,1
"PF00082.25",1,1
"PF00082.25",3,1
"PF00082.25",4,3
"PF00082.25",5,2
"PF00082.25",12,1
"PF00082.25",13,1
"PF00082.25",14,2
"PF00082.25",17,3
"PF00082.25",19,1
"PF00082.25",21,1
"PF00082.25",23,1
"PF00082.25",24,1
"PF00082.25",28,1
"PF00085.23",-14,1
"PF00085.23",-9,1
"PF00085.23",-8,2
"PF00085.23",-1,2
"PF00089.29",-23,1
"PF00089.29",-8,1
"PF00089.29",-6,1
"PF00089.29",-5,2
"PF00089.29",-4,1
"PF00089.29",-1,2
"PF00092.31",-1,1
"PF00092.31",16,1
"PF00092.31",25,1
"PF00106.28",-78,1
"PF00106.28",-15,1
"PF00106.28",-14,1
"PF00106.28",-3,1
"PF00106.28",16,1
"PF00106.28",27,2
"PF00106.28",34,1
"PF00106.28",41,1
"PF00106.28",44,1
"PF00106.28",48,2
"PF00106.28",58,2
"PF00106.28",67,1
"PF00106.28",78,1
"PF00106.28",79,2
"PF00106.28",88,1
"PF00107.29",-21,9
"PF00107.29",-20,11
"PF00107.29",-12,1
"PF00107.29",-6,2
"PF00107.29",-5,19
"PF00107.29",-4,13
"PF00107.29",-3,4
"PF00107.29",-1,7
"PF00112.26",-24,1
"PF00112.26",-23,2
"PF00112.26",-22,1
"PF00112.26",-19,1
"PF00112.26",-18,2
"PF00112.26",64,1
"PF00117.31",-48,1
"PF00117.31",-44,1
"PF00117.31",-18,1
"PF00117.31",-17,1
"PF00117.31",-6,9
"PF00117.31",-1,3
"PF00120.27",-37,5
"PF00120.27",-36,1
"PF00120.27",-22,1
"PF00120.27",-20,2
"PF00122.23",1,3
"PF00122.23",37,1
"PF00132.27",-20,1
"PF00132.27",-16,9
"PF00132.27",-12,1
"PF00132.27",-11,1
"PF00132.27",-10,1
"PF00132.27",-9,1
"PF00132.27",1,8
"PF00132.27",3,6
"PF00132.27",5,2
"PF00132.27",6,1
"PF00132.27",7,1
"PF00132.27",10,2
"PF00132.27",12,1
"PF00132.27",13,1
"PF00133.25",3,2
"PF00139.22",-23,1
"PF00139.22",-17,1
"PF00139.22",-6,1
"PF00139.22",5,1
"PF00145.20",-189,2
"PF00149.31",-68,1
"PF00149.31",-21,1
"PF00149.31",-18,1
"PF00149.31",-10,2
"PF00149.31",-9,2
"PF00149.31",-8,5
"PF00149.31",-5,1
"PF00149.31",-3,12
"PF00149.31",10,4
"PF00149.31",11,12
"PF00149.31",12,8
"PF00149.31",13,3
"PF00149.31",15,6
"PF00149.31",16,3
"PF00149.31",19,1
"PF00149.31",22,2
"PF00149.31",25,1
"PF00149.31",26,1
"PF00149.31",27,1
"PF00149.31",31,1
"PF00150.21",-179,1
"PF00150.21",10,1
"PF00150.21",26,1
"PF00150.21",27,1
"PF00155.24",-54,2
