INTERACTING_PROTEINS,DDI,DLI  (3DID DMI),DLI  (ELM)
A0A024R0Y4   O14964-1,14,0,0
A0A024R0Y4   P25800-1,14,0,0
A0A024R0Y4   P47897-1,14,0,0
A0A024R0Y4   Q13064,14,0,0
A0A024R0Y4   Q6PEW1,14,0,0
A0A024R0Y4   Q8IYX3-2,14,0,0
A0A024R0Y4   Q8TAU3-1,14,0,0
A0A024R0Y4   Q96A72,14,0,0
A0A024R0Y4   Q96FV9-1,14,0,0
A0A024R0Y4   Q9BRG1,14,0,0
A0A024R0Y4   Q9NX04-1,14,0,0
A0A024R2X5   P50222,11,0,0
A0A024RA52   P25786-1,26,5,0
A0A024RAC6   A0A087WXA6,1,0,0
A0A024RAC6   A0A0C3SFZ9,1,0,0
A0A024RAC6   A0A0D9SFF3,1,0,0
A0A024RAC6   O00444-1,1,0,0
A0A024RAC6   O14744-1,1,0,0
A0A024RAC6   O15055-1,1,0,0
A0A024RAC6   O15344-1,1,0,0
A0A024RAC6   O60447-1,1,0,0
A0A024RAC6   O94972-1,1,0,0
A0A024RAC6   O95198-1,1,0,0
A0A024RAC6   P23508-1,1,0,0
A0A024RAC6   P51114-2,1,0,0
A0A024RAC6   Q13136-1,1,0,0
A0A024RAC6   Q13625-2,1,0,0
A0A024RAC6   Q15025-1,1,0,0
A0A024RAC6   Q15276-1,1,0,0
A0A024RAC6   Q15742-1,1,0,0
A0A024RAC6   Q2TAC2-2,1,0,0
A0A024RAC6   Q63ZY3-1,1,0,0
A0A024RAC6   Q69YQ0,1,0,0
A0A024RAC6   Q86X02,1,0,0
A0A024RAC6   Q8IX15-1,1,0,0
A0A024RAC6   Q8N137-1,1,0,0
A0A024RAC6   Q8NI38-1,1,0,0
A0A024RAC6   Q96HR8-1,1,0,0
A0A024RAC6   Q96IK5,1,0,0
A0A024RAC6   Q96RE7,1,0,0
A0A024RAC6   Q99750,1,0,0
A0A024RAC6   Q9BQD3,1,0,0
A0A024RAC6   Q9BYV9,1,0,0
A0A024RAC6   Q9NQX0-3,1,0,0
A0A024RAC6   Q9NYA3,1,0,0
