"Domain","Distance.Domain.Motif","ocurrences"
"PF00005.30",-33,1
"PF00005.30",-22,1
"PF00005.30",-21,1
"PF00005.30",-20,1
"PF00005.30",-19,1
"PF00005.30",-18,3
"PF00005.30",-17,1
"PF00005.30",-16,1
"PF00005.30",-15,2
"PF00005.30",-14,2
"PF00005.30",-13,6
"PF00005.30",-12,9
"PF00005.30",-11,7
"PF00005.30",-10,9
"PF00005.30",-9,15
"PF00005.30",-8,25
"PF00005.30",-7,2
"PF00005.30",-6,2
"PF00005.30",-5,1
"PF00005.30",-4,2
"PF00005.30",19,8
"PF00005.30",20,1
"PF00005.30",21,13
"PF00005.30",22,16
"PF00005.30",23,14
"PF00005.30",24,12
"PF00005.30",25,12
"PF00005.30",37,2
"PF00005.30",39,1
"PF00005.30",40,4
"PF00005.30",41,8
"PF00005.30",42,12
"PF00005.30",43,10
"PF00005.30",44,1
"PF00005.30",45,1
"PF00089.29",-56,1
"PF00089.29",-37,1
"PF00106.28",36,1
"PF00106.28",42,1
"PF00107.29",-20,1
"PF00107.29",-5,1
"PF00107.29",-4,2
"PF00107.29",-3,1
"PF00107.29",-1,1
"PF00111.30",3,1
"PF00111.30",5,1
"PF00132.27",-36,1
"PF00132.27",-26,1
"PF00132.27",-22,2
"PF00132.27",-21,1
"PF00132.27",-19,1
"PF00132.27",-13,1
"PF00132.27",-11,1
"PF00132.27",-10,1
"PF00132.27",-9,1
"PF00132.27",-3,1
"PF00132.27",-1,3
"PF00132.27",1,10
"PF00132.27",3,3
"PF00132.27",4,1
"PF00132.27",5,1
"PF00132.27",8,1
"PF00132.27",11,2
"PF00132.27",12,1
"PF00132.27",14,1
"PF00132.27",20,1
"PF00149.31",9,1
"PF00149.31",12,1
"PF00149.31",31,1
"PF00171.25",-1,2
"PF00171.25",198,1
"PF00175.24",-1,1
"PF00175.24",12,1
"PF00175.24",19,1
"PF00175.24",30,1
"PF00263.24",-67,1
"PF00263.24",-51,1
"PF00270.32",9,1
"PF00270.32",10,5
"PF00270.32",15,1
"PF00271.34",-51,1
"PF00271.34",1,4
"PF00271.34",4,2
"PF00271.34",8,1
"PF00271.34",9,1
"PF00291.28",1,1
"PF00291.28",13,1
"PF00294.27",-41,1
"PF00294.27",-9,1
"PF00294.27",-3,1
"PF00294.27",-1,1
"PF00343.23",-28,1
"PF00343.23",-27,1
"PF00361.23",11,1
"PF00361.23",13,1
"PF00361.23",24,1
"PF00361.23",34,1
"PF00374.22",167,1
"PF00374.22",183,1
"PF00384.25",17,1
"PF00384.25",126,1
"PF00384.25",206,2
"PF00391.26",-130,1
"PF00391.26",1,1
"PF00419.23",-150,1
"PF00419.23",-19,1
"PF00496.25",-43,1
"PF00496.25",-38,1
"PF00496.25",-37,3
"PF00496.25",-36,1
"PF00496.25",-34,1
"PF00496.25",-11,1
"PF00496.25",-10,1
"PF00496.25",-7,4
"PF00496.25",-6,3
"PF00496.25",-5,1
"PF00496.25",49,2
"PF00496.25",58,1
"PF00496.25",59,1
"PF00496.25",60,1
"PF00497.23",-10,1
"PF00497.23",-1,1
"PF00532.24",-14,1
"PF00532.24",-13,1
"PF00532.24",-10,1
"PF00532.24",58,1
"PF00535.29",21,1
"PF00535.29",36,1
"PF00535.29",73,1
"PF00549.22",-1,2
"PF00593.27",-9,1
"PF00593.27",-6,2
"PF00593.27",-3,1
"PF00593.27",-1,1
"PF00694.22",-20,1
"PF00694.22",-5,1
"PF00696.31",8,1
"PF00696.31",9,1
"PF00696.31",11,1
"PF00696.31",14,1
"PF00696.31",17,1
"PF00696.31",18,1
"PF00702.29",-80,1
"PF00702.29",-17,1
"PF00766.22",1,1
"PF00766.22",3,1
"PF00766.22",4,1
"PF00805.25",-10,1
"PF00805.25",-5,1
"PF00805.25",-1,1
"PF00805.25",1,1
"PF00805.25",11,1
"PF00919.23",4,1
"PF00919.23",20,1
"PF00920.24",-16,1
"PF00920.24",-15,1
"PF00941.24",5,1
"PF00941.24",41,1
"PF01012.24",-41,1
"PF01012.24",-22,2
"PF01012.24",-7,1
"PF01058.25",-6,2
"PF01075.20",-63,1
"PF01075.20",-60,1
"PF01118.27",8,2
"PF01261.27",-14,1
"PF01261.27",-13,2
"PF01263.23",1,1
"PF01263.23",13,1
"PF01416.23",-30,1
"PF01416.23",-1,1
"PF01494.22",-1,1
"PF01494.22",18,1
"PF01546.31",-63,1
"PF01546.31",-9,1
"PF01546.31",-8,1
"PF01547.28",-17,1
"PF01547.28",-12,1
"PF01547.28",-11,1
"PF01547.28",-9,1
"PF01547.28",-8,1
"PF01547.28",-3,1
"PF01547.28",-1,1
"PF01553.24",-22,1
"PF01553.24",16,1
"PF01553.24",23,1
"PF01565.26",24,1
"PF01565.26",26,1
"PF01565.26",28,1
"PF01565.26",29,1
"PF01565.26",81,1
"PF01750.21",-16,1
"PF01750.21",-11,2
"PF01979.23",-22,1
"PF01979.23",1,1
"PF01979.23",14,1
"PF02142.25",-8,1
"PF02142.25",-7,2
"PF02463.22",-19,1
"PF02463.22",-7,1
"PF02463.22",1,2
"PF02463.22",22,1
"PF02470.23",4,1
"PF02470.23",6,1
"PF02492.22",-92,1
"PF02492.22",7,1
"PF02518.29",-18,2
"PF02518.29",-14,1
"PF02518.29",-13,1
"PF02518.29",-12,2
"PF02518.29",-11,3
"PF02518.29",-10,4
"PF02518.29",-9,1
"PF02518.29",-8,1
"PF02518.29",-7,1
"PF02518.29",1,3
"PF02518.29",27,1
"PF02518.29",28,1
"PF02518.29",100,1
"PF02625.19",14,1
"PF02625.19",19,1
"PF02629.22",11,1
"PF02629.22",13,1
"PF02775.24",-110,1
"PF02775.24",-1,4
"PF02875.24",31,1
"PF02875.24",32,2
"PF02875.24",40,1
"PF02875.24",49,1
"PF02875.24",67,1
"PF03061.25",1,4
"PF03061.25",11,1
"PF03144.28",-14,1
"PF03144.28",-10,1
"PF03144.28",-9,1
"PF03144.28",-8,1
"PF03212.17",-16,1
"PF03212.17",-7,1
"PF03447.19",-1,2
"PF03466.23",-18,1
"PF03466.23",-1,1
"PF03573.16",15,1
"PF03573.16",28,1
"PF03709.18",-12,1
"PF03709.18",-8,1
"PF03709.18",-7,1
"PF03711.18",4,2
"PF03711.18",5,1
"PF03711.18",7,1
"PF03711.18",8,1
"PF03717.18",4,1
"PF03717.18",5,1
"PF03797.22",1,1
"PF03797.22",11,1
"PF03797.22",12,1
"PF03797.22",13,4
"PF03797.22",15,1
"PF04055.24",-1,2
"PF04055.24",7,1
"PF04055.24",9,1
"PF04055.24",19,1
"PF04055.24",21,1
"PF04055.24",23,1
"PF04851.18",13,2
"PF04851.18",14,1
"PF04851.18",15,1
"PF04851.18",44,1
"PF04851.18",158,1
"PF04851.18",185,1
"PF04851.18",200,1
"PF04851.18",227,1
"PF04851.18",296,1
"PF05193.24",-162,1
"PF05193.24",-156,1
"PF05193.24",61,1
"PF05193.24",62,1
"PF05193.24",68,1
"PF05593.17",-1,3
"PF06174.14",1,1
"PF06174.14",3,1
"PF07012.15",-1,3
"PF07012.15",1,3
"PF07012.15",4,1
"PF07012.15",12,2
"PF07715.18",1,5
"PF07731.17",-49,1
"PF07731.17",-1,1
"PF07732.18",-1,2
"PF07992.17",-1,1
"PF07992.17",35,1
"PF08245.15",-1,3
"PF08245.15",1,1
"PF08445.13",17,1
"PF08445.13",18,1
"PF08543.15",-66,1
"PF08543.15",-1,1
"PF09339.13",4,3
"PF09339.13",5,1
"PF10531.12",24,1
"PF10531.12",25,1
"PF10672.12",-33,1
"PF10672.12",16,1
"PF12746.10",18,1
"PF12746.10",19,1
"PF12802.10",1,1
"PF12802.10",4,1
"PF12840.10",3,1
"PF12840.10",4,1
"PF12850.10",6,1
"PF12850.10",8,1
"PF12850.10",30,1
"PF13191.9",20,1
"PF13191.9",37,1
"PF13191.9",114,1
"PF13242.9",-134,1
"PF13242.9",-99,1
"PF13247.9",183,1
"PF13247.9",184,1
"PF13353.9",-4,1
"PF13353.9",-1,1
"PF13378.9",-37,2
"PF13378.9",-16,1
"PF13378.9",-10,1
"PF13378.9",-8,1
"PF13407.9",-11,1
"PF13407.9",-4,1
"PF13407.9",13,1
"PF13409.9",-55,1
"PF13409.9",-5,1
"PF13409.9",-3,1
"PF13416.9",-22,1
"PF13416.9",-17,1
"PF13416.9",-14,1
"PF13416.9",-13,1
"PF13416.9",-10,1
"PF13417.9",-12,1
"PF13417.9",-5,1
"PF13419.9",-100,1
"PF13419.9",-46,1
"PF13420.10",1,4
"PF13420.10",6,1
"PF13439.9",-7,2
"PF13439.9",-5,2
"PF13439.9",-4,1
"PF13439.9",-1,1
"PF13460.9",9,1
"PF13460.9",28,1
"PF13523.9",13,1
"PF13523.9",15,1
"PF13531.9",-10,1
"PF13531.9",-4,2
"PF13555.9",132,1
"PF13555.9",135,1
"PF13555.9",151,1
"PF13555.9",152,1
"PF13555.9",1375,1
"PF13561.9",11,1
"PF13561.9",35,1
"PF13589.9",-18,1
"PF13589.9",21,1
"PF13589.9",65,1
"PF13673.10",1,1
"PF13673.10",7,1
"PF13673.10",11,2
"PF13673.10",14,1
"PF13673.10",15,1
"PF13673.10",18,1
"PF13673.10",19,1
"PF13953.9",-5,1
"PF13953.9",-3,1
"PF13953.9",-1,3
"PF13953.9",10,2
"PF14501.9",-17,1
"PF14501.9",13,1
"PF14602.9",-36,1
"PF14602.9",-21,2
"PF14602.9",-18,1
"PF14602.9",-12,1
"PF14602.9",-10,1
"PF14602.9",1,3
"PF14602.9",2,1
"PF14602.9",12,1
"PF14602.9",20,1
"PF16168.8",1,3
"PF16168.8",7,1
"PF16168.8",8,1
"PF16168.8",13,1
"PF16168.8",15,1
"PF16168.8",21,1
"PF16168.8",26,1
"PF16576.8",-1,1
"PF16576.8",1,1
"PF17876.4",-8,1
"PF17876.4",-7,1
"PF18883.3",-7,1
"PF18883.3",6,1
"PF20256.1",1,1
"PF20256.1",3,1
