"Domain","Distance.Domain.Motif","ocurrences"
"PF00001.24",-55,1
"PF00001.24",-45,1
"PF00001.24",-28,1
"PF00001.24",-27,2
"PF00004.32",1,1
"PF00004.32",9,1
"PF00004.32",12,1
"PF00005.30",-675,1
"PF00005.30",-44,1
"PF00005.30",-27,1
"PF00005.30",-25,1
"PF00005.30",-23,1
"PF00005.30",-17,3
"PF00005.30",-16,2
"PF00005.30",-15,3
"PF00005.30",-14,2
"PF00005.30",-13,3
"PF00005.30",-12,3
"PF00005.30",-11,28
"PF00005.30",-10,18
"PF00005.30",-9,5
"PF00005.30",-8,1
"PF00005.30",18,1
"PF00005.30",19,5
"PF00005.30",20,5
"PF00005.30",21,23
"PF00005.30",22,11
"PF00005.30",23,6
"PF00005.30",24,3
"PF00005.30",25,3
"PF00005.30",26,3
"PF00005.30",36,4
"PF00005.30",37,1
"PF00005.30",38,4
"PF00005.30",39,5
"PF00005.30",40,3
"PF00005.30",42,1
"PF00005.30",43,1
"PF00013.32",6,1
"PF00013.32",16,2
"PF00024.29",-11,1
"PF00024.29",1,1
"PF00024.29",5,1
"PF00024.29",9,1
"PF00026.26",-48,1
"PF00026.26",-45,3
"PF00026.26",-41,1
"PF00026.26",-39,1
"PF00026.26",-38,1
"PF00026.26",-37,1
"PF00026.26",-18,1
"PF00026.26",-7,1
"PF00026.26",-4,1
"PF00028.20",-13,1
"PF00028.20",3,1
"PF00028.20",937,1
"PF00028.20",955,1
"PF00041.24",-1,2
"PF00041.24",6,1
"PF00041.24",10,1
"PF00041.24",13,1
"PF00044.27",9,2
"PF00044.27",10,2
"PF00054.26",-14,1
"PF00054.26",-9,1
"PF00054.26",-7,1
"PF00054.26",-3,1
"PF00054.26",-2,2
"PF00054.26",-1,7
"PF00059.24",-1,5
"PF00061.26",7,3
"PF00067.25",1,5
"PF00067.25",3,1
"PF00067.25",6,2
"PF00067.25",9,1
"PF00067.25",10,1
"PF00067.25",14,2
"PF00067.25",20,1
"PF00067.25",27,1
"PF00069.28",-1402,1
"PF00069.28",-16,1
"PF00071.25",-63,1
"PF00071.25",-46,1
"PF00071.25",-1,1
"PF00071.25",37,1
"PF00076.25",-16,1
"PF00076.25",1,1
"PF00076.25",4,1
"PF00080.23",-14,1
"PF00080.23",-6,1
"PF00080.23",-4,1
"PF00080.23",-3,1
"PF00089.29",-5,1
"PF00089.29",-1,1
"PF00089.29",11,1
"PF00089.29",18,1
"PF00089.29",20,1
"PF00089.29",24,1
"PF00090.22",-2,1
"PF00090.22",-1,3
"PF00092.31",-13,1
"PF00092.31",1,2
"PF00092.31",25,1
"PF00100.26",-37,1
"PF00100.26",10,1
"PF00100.26",22,1
"PF00100.26",27,1
"PF00100.26",38,1
"PF00102.30",-16,2
"PF00102.30",-3,1
"PF00104.33",-20,1
"PF00104.33",-16,1
"PF00104.33",1,1
"PF00106.28",27,1
"PF00106.28",32,1
"PF00106.28",48,1
"PF00106.28",51,1
"PF00106.28",54,1
"PF00106.28",64,2
"PF00106.28",130,1
"PF00107.29",-20,1
"PF00107.29",-7,1
"PF00107.29",-5,5
"PF00107.29",-4,1
"PF00107.29",-3,1
"PF00112.26",1,3
"PF00112.26",3,1
"PF00132.27",1,1
"PF00132.27",4,1
"PF00135.31",-11,1
"PF00135.31",-10,1
"PF00135.31",56,1
"PF00135.31",58,1
"PF00135.31",60,1
"PF00147.21",21,1
"PF00147.21",35,1
"PF00147.21",39,1
"PF00147.21",41,1
"PF00149.31",-47,1
"PF00149.31",-6,1
"PF00149.31",-5,1
"PF00149.31",-3,5
"PF00149.31",-1,6
"PF00149.31",11,2
"PF00149.31",12,11
"PF00149.31",13,3
"PF00149.31",15,3
"PF00149.31",16,1
"PF00149.31",17,1
"PF00160.24",-1,3
"PF00168.33",-66,1
"PF00168.33",-17,1
"PF00168.33",-7,1
"PF00168.33",-6,1
"PF00168.33",-5,1
"PF00168.33",4,1
"PF00168.33",6,1
"PF00168.33",12,1
"PF00168.33",17,2
"PF00168.33",19,1
"PF00168.33",21,1
"PF00168.33",24,1
"PF00171.25",-8,1
"PF00171.25",-6,1
"PF00171.25",-1,1
"PF00171.25",65,1
"PF00175.24",-1,3
"PF00175.24",21,1
"PF00176.26",136,1
"PF00176.26",154,1
"PF00176.26",162,1
"PF00176.26",172,1
"PF00176.26",184,1
"PF00176.26",191,1
"PF00176.26",458,1
"PF00176.26",849,1
"PF00188.29",1,2
"PF00188.29",5,1
"PF00188.29",13,1
"PF00188.29",17,12
"PF00188.29",18,1
"PF00188.29",21,1
"PF00188.29",31,1
"PF00201.21",-76,1
"PF00201.21",-74,1
"PF00201.21",-14,1
"PF00201.21",-12,2
"PF00201.21",-10,1
"PF00201.21",-8,1
"PF00201.21",-7,3
"PF00201.21",-6,8
"PF00201.21",-5,8
"PF00201.21",-4,7
"PF00201.21",-3,8
"PF00201.21",-1,4
"PF00217.22",-20,1
"PF00217.22",-19,4
"PF00225.26",-25,1
"PF00225.26",-18,1
"PF00225.26",-1,1
"PF00240.26",-12,2
"PF00240.26",-10,1
"PF00240.26",-8,1
"PF00254.31",-181,1
"PF00254.31",1,1
"PF00270.32",-58,1
"PF00270.32",5,1
"PF00270.32",8,4
"PF00270.32",9,4
"PF00270.32",10,7
"PF00270.32",11,6
"PF00270.32",12,3
"PF00270.32",13,5
"PF00270.32",14,2
"PF00270.32",16,1
"PF00270.32",17,1
"PF00270.32",20,1
"PF00270.32",23,1
"PF00270.32",35,1
"PF00271.34",-104,1
"PF00271.34",-59,1
"PF00271.34",-57,1
"PF00271.34",-46,1
"PF00271.34",-7,1
"PF00271.34",1,25
"PF00271.34",3,6
"PF00271.34",4,7
"PF00271.34",5,12
"PF00271.34",6,2
"PF00271.34",7,1
"PF00271.34",16,1
"PF00291.28",3,1
"PF00291.28",5,1
"PF00291.28",7,1
"PF00291.28",13,1
"PF00300.25",-44,1
"PF00300.25",-43,1
"PF00300.25",-39,1
