"Domain","Distance.Domain.Motif","ocurrences"
"PF00005.30",-37,1
"PF00005.30",-30,1
"PF00005.30",-29,1
"PF00005.30",-28,1
"PF00005.30",-25,2
"PF00005.30",-20,2
"PF00005.30",-17,2
"PF00005.30",-16,4
"PF00005.30",-15,4
"PF00005.30",-14,6
"PF00005.30",-13,2
"PF00005.30",-12,12
"PF00005.30",-11,19
"PF00005.30",-10,12
"PF00005.30",-9,7
"PF00005.30",-8,4
"PF00005.30",-4,1
"PF00005.30",18,1
"PF00005.30",19,5
"PF00005.30",20,3
"PF00005.30",21,20
"PF00005.30",22,22
"PF00005.30",23,4
"PF00005.30",24,11
"PF00005.30",25,1
"PF00005.30",26,1
"PF00005.30",36,2
"PF00005.30",38,10
"PF00005.30",39,3
"PF00005.30",40,9
"PF00005.30",41,5
"PF00005.30",42,7
"PF00005.30",43,4
"PF00005.30",44,1
"PF00005.30",90,1
"PF00013.32",1,2
"PF00013.32",13,1
"PF00014.26",-3,1
"PF00014.26",-1,1
"PF00028.20",-1549,1
"PF00028.20",-15,1
"PF00028.20",-1,3
"PF00028.20",28,1
"PF00028.20",54,1
"PF00028.20",88,1
"PF00041.24",-1,3
"PF00041.24",536,1
"PF00044.27",10,2
"PF00047.28",-5,1
"PF00047.28",-1,1
"PF00047.28",1,4
"PF00047.28",2,1
"PF00047.28",3,1
"PF00047.28",5,2
"PF00047.28",6,2
"PF00047.28",8,2
"PF00047.28",12,2
"PF00047.28",14,1
"PF00047.28",15,1
"PF00054.26",-17,1
"PF00054.26",-4,1
"PF00054.26",-3,2
"PF00054.26",-1,22
"PF00060.29",-60,1
"PF00060.29",-51,1
"PF00060.29",-22,1
"PF00060.29",-18,3
"PF00060.29",-17,3
"PF00060.29",-16,1
"PF00067.25",1,2
"PF00067.25",3,3
"PF00067.25",5,1
"PF00067.25",6,1
"PF00067.25",9,1
"PF00067.25",10,1
"PF00067.25",12,1
"PF00067.25",13,1
"PF00067.25",14,1
"PF00067.25",15,2
"PF00067.25",17,1
"PF00067.25",18,1
"PF00067.25",22,1
"PF00067.25",39,1
"PF00071.25",-82,1
"PF00071.25",-1,2
"PF00076.25",3,1
"PF00076.25",12,1
"PF00076.25",14,1
"PF00080.23",-10,1
"PF00080.23",-9,1
"PF00080.23",-3,1
"PF00089.29",-15,1
"PF00089.29",-3,1
"PF00089.29",-1,2
"PF00090.22",-1,4
"PF00090.22",1,1
"PF00093.21",-101,1
"PF00093.21",-1,1
"PF00100.26",1,1
"PF00100.26",20,1
"PF00106.28",-8,1
"PF00106.28",25,2
"PF00106.28",30,1
"PF00106.28",31,1
"PF00106.28",32,1
"PF00106.28",33,1
"PF00106.28",34,1
"PF00106.28",35,1
"PF00106.28",36,3
"PF00106.28",37,3
"PF00106.28",41,1
"PF00106.28",42,1
"PF00106.28",43,1
"PF00107.29",-20,1
"PF00107.29",-7,1
"PF00107.29",-5,1
"PF00107.29",-4,1
"PF00107.29",-3,1
"PF00108.26",25,1
"PF00108.26",26,1
"PF00128.27",-14,6
"PF00128.27",56,1
"PF00132.27",-4,1
"PF00132.27",-3,2
"PF00132.27",1,1
"PF00132.27",3,1
"PF00132.27",6,1
"PF00135.31",7,1
"PF00135.31",23,1
"PF00135.31",75,1
"PF00149.31",-3,2
"PF00149.31",-1,3
"PF00149.31",10,1
"PF00149.31",11,1
"PF00149.31",12,7
"PF00149.31",13,1
"PF00149.31",15,5
"PF00149.31",16,2
"PF00149.31",17,2
"PF00149.31",36,1
"PF00149.31",41,1
"PF00151.22",-11,1
"PF00151.22",-1,1
"PF00151.22",11,1
"PF00151.22",16,1
"PF00151.22",19,1
"PF00151.22",41,1
"PF00160.24",-6,1
"PF00160.24",-1,1
"PF00168.33",-72,1
"PF00168.33",-11,1
"PF00168.33",-8,1
"PF00168.33",-6,5
"PF00168.33",-4,1
"PF00168.33",-3,2
"PF00168.33",6,1
"PF00168.33",8,1
"PF00168.33",14,1
"PF00168.33",15,1
"PF00168.33",21,1
"PF00168.33",27,1
"PF00168.33",305,1
"PF00171.25",-1,2
"PF00171.25",7,1
