"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",-3,1
"PF00004.32",1,2
"PF00004.32",14,1
"PF00004.32",62,1
"PF00005.30",-44,1
"PF00005.30",-20,1
"PF00005.30",-14,2
"PF00005.30",-13,3
"PF00005.30",-12,4
"PF00005.30",-11,2
"PF00005.30",-10,6
"PF00005.30",-9,2
"PF00005.30",-8,1
"PF00005.30",18,3
"PF00005.30",19,6
"PF00005.30",20,1
"PF00005.30",21,7
"PF00005.30",22,2
"PF00005.30",23,5
"PF00005.30",24,2
"PF00005.30",25,2
"PF00005.30",26,2
"PF00005.30",37,2
"PF00005.30",38,1
"PF00005.30",39,1
"PF00005.30",40,2
"PF00005.30",41,2
"PF00005.30",42,1
"PF00005.30",43,1
"PF00005.30",44,1
"PF00106.28",8,1
"PF00106.28",27,1
"PF00106.28",36,1
"PF00106.28",46,1
"PF00106.28",48,1
"PF00107.29",-21,2
"PF00107.29",-6,2
"PF00107.29",-5,2
"PF00107.29",-3,2
"PF00107.29",-1,1
"PF00107.29",26,1
"PF00117.31",-38,1
"PF00117.31",-6,1
"PF00132.27",-23,1
"PF00132.27",-8,1
"PF00132.27",1,2
"PF00132.27",3,1
"PF00132.27",4,1
"PF00132.27",10,1
"PF00132.27",11,1
"PF00132.27",13,1
"PF00149.31",-3,1
"PF00149.31",-1,2
"PF00149.31",12,2
"PF00149.31",13,1
"PF00149.31",16,1
"PF00149.31",55,1
"PF00156.30",10,1
"PF00156.30",15,1
"PF00168.33",5,1
"PF00168.33",6,2
"PF00168.33",7,2
"PF00168.33",10,1
"PF00171.25",-1,2
"PF00171.25",15,1
"PF00171.25",57,1
"PF00175.24",-1,3
"PF00175.24",27,1
"PF00175.24",35,1
"PF00175.24",37,1
"PF00176.26",151,1
"PF00176.26",155,1
"PF00176.26",186,1
"PF00176.26",187,1
"PF00176.26",213,1
"PF00176.26",219,1
"PF00176.26",276,1
"PF00176.26",404,1
"PF00176.26",718,1
"PF00266.22",-33,1
"PF00266.22",-31,1
"PF00270.32",7,1
"PF00270.32",8,5
"PF00270.32",9,4
"PF00270.32",10,7
"PF00270.32",11,5
"PF00270.32",12,1
"PF00270.32",15,3
"PF00270.32",20,1
"PF00270.32",35,1
"PF00270.32",55,1
"PF00271.34",-129,1
"PF00271.34",-45,1
"PF00271.34",1,21
"PF00271.34",3,4
"PF00271.34",4,5
"PF00271.34",5,14
"PF00271.34",7,3
"PF00271.34",10,1
"PF00288.29",-42,1
"PF00288.29",-36,1
"PF00293.31",-29,1
"PF00293.31",-23,1
"PF00293.31",-10,1
"PF00326.24",-28,1
"PF00326.24",-12,1
"PF00383.26",18,1
"PF00383.26",27,1
"PF00389.33",-5,2
"PF00443.32",8,1
"PF00443.32",11,1
"PF00481.24",4,1
"PF00481.24",6,1
"PF00481.24",9,1
"PF00483.26",-1,1
"PF00483.26",26,1
"PF00483.26",58,1
"PF00483.26",94,1
"PF00501.31",-60,1
"PF00501.31",28,1
"PF00561.23",-7,1
"PF00561.23",-6,1
"PF00575.26",-1,1
"PF00575.26",1,1
"PF00587.28",-24,1
"PF00587.28",14,1
"PF00590.23",11,1
"PF00590.23",13,1
"PF00614.25",-212,1
"PF00614.25",-79,1
"PF00626.25",-5,1
"PF00626.25",16,1
"PF00626.25",21,1
"PF00817.23",-1,1
"PF00817.23",6,1
"PF00850.22",-14,2
"PF00982.24",-169,1
"PF00982.24",-166,1
"PF01088.24",10,2
"PF01416.23",-168,1
"PF01416.23",-119,1
"PF01416.23",-66,1
"PF01416.23",-18,1
"PF01459.25",1,2
"PF01556.21",-1,2
"PF01593.27",-6,1
"PF01593.27",-3,1
"PF01663.25",-115,1
"PF01663.25",-113,1
"PF01663.25",-20,1
"PF01663.25",8,1
"PF01704.21",1,1
"PF01704.21",17,1
"PF01926.26",-79,1
"PF01926.26",82,1
"PF01926.26",95,1
"PF01965.27",-70,1
"PF01965.27",-21,1
"PF01965.27",-17,2
"PF01965.27",53,1
"PF01979.23",-46,1
"PF01979.23",39,1
"PF02142.25",-7,1
"PF02142.25",-5,1
"PF02146.20",-1,2
"PF02146.20",12,1
"PF02146.20",14,1
"PF02146.20",19,1
"PF02358.19",-1,1
"PF02358.19",6,1
"PF02463.22",11,1
"PF02463.22",14,1
"PF02518.29",-10,3
"PF02582.17",-92,1
"PF02582.17",-86,1
"PF02769.25",-6,1
"PF02769.25",1,1
"PF02775.24",-23,1
"PF02775.24",-15,1
"PF02775.24",-10,1
"PF02775.24",-1,1
"PF02775.24",7,1
"PF02775.24",26,1
"PF02862.20",-30,1
"PF02862.20",-23,1
"PF03029.20",-1,2
"PF03099.22",-13,1
"PF03099.22",-9,1
"PF03099.22",15,1
"PF03104.22",-39,1
"PF03104.22",-21,1
"PF03144.28",-73,1
"PF03144.28",-15,1
"PF03144.28",-13,1
"PF03144.28",-12,1
"PF03144.28",-10,2
"PF03144.28",-9,1
"PF03144.28",-7,1
"PF03159.21",19,1
"PF03159.21",36,1
"PF03178.18",-1069,1
"PF03178.18",-728,1
"PF03178.18",-706,1
"PF03184.22",-28,1
"PF03184.22",-27,2
"PF03215.18",18,1
"PF03215.18",90,1
"PF03358.18",-57,1
"PF03358.18",1,1
"PF03372.26",1,2
"PF03856.16",4,1
"PF03856.16",5,1
"PF03856.16",7,1
"PF03876.20",1,2
"PF04042.19",8,1
"PF04042.19",11,1
"PF04072.17",5,1
"PF04072.17",7,1
"PF04427.21",-9,1
"PF04427.21",-1,4
"PF04488.18",-7,4
"PF04488.18",16,1
"PF04488.18",20,1
