"Domain","Distance.Domain.Motif","ocurrences"
"PF00001.24",-29,1
"PF00001.24",-28,1
"PF00001.24",-27,3
"PF00001.24",-26,20
"PF00001.24",-25,28
"PF00004.32",1,1
"PF00004.32",38,1
"PF00004.32",95,1
"PF00004.32",145,1
"PF00005.30",-81,1
"PF00005.30",-55,1
"PF00005.30",-51,1
"PF00005.30",-42,1
"PF00005.30",-35,1
"PF00005.30",-27,1
"PF00005.30",-24,2
"PF00005.30",-21,1
"PF00005.30",-20,5
"PF00005.30",-18,1
"PF00005.30",-17,4
"PF00005.30",-16,3
"PF00005.30",-15,2
"PF00005.30",-14,1
"PF00005.30",-13,5
"PF00005.30",-12,12
"PF00005.30",-11,15
"PF00005.30",-10,22
"PF00005.30",-9,2
"PF00005.30",-8,2
"PF00005.30",18,1
"PF00005.30",19,6
"PF00005.30",20,6
"PF00005.30",21,25
"PF00005.30",22,13
"PF00005.30",23,4
"PF00005.30",24,6
"PF00005.30",25,2
"PF00005.30",26,3
"PF00005.30",36,6
"PF00005.30",37,2
"PF00005.30",38,7
"PF00005.30",39,5
"PF00005.30",40,2
"PF00005.30",42,4
"PF00005.30",43,1
"PF00008.30",1,1
"PF00008.30",1048,1
"PF00013.32",8,1
"PF00013.32",9,1
"PF00013.32",11,1
"PF00026.26",-46,1
"PF00026.26",-43,1
"PF00026.26",1,1
"PF00028.20",-1341,1
"PF00028.20",-238,1
"PF00028.20",-230,1
"PF00028.20",-104,1
"PF00028.20",-19,6
"PF00028.20",-15,6
"PF00028.20",-12,1
"PF00028.20",-11,1
"PF00028.20",-8,8
"PF00028.20",-7,10
"PF00028.20",-6,2
"PF00028.20",-4,1
"PF00028.20",-3,7
"PF00028.20",-1,70
"PF00028.20",1,14
"PF00028.20",3,6
"PF00028.20",6,6
"PF00028.20",7,12
"PF00028.20",8,1
"PF00028.20",9,4
"PF00028.20",10,2
"PF00028.20",12,3
"PF00028.20",13,8
"PF00028.20",17,2
"PF00028.20",24,1
"PF00028.20",48,1
"PF00028.20",78,1
"PF00028.20",80,2
"PF00041.24",-1320,1
"PF00041.24",-15,1
"PF00041.24",-10,1
"PF00041.24",-7,2
"PF00041.24",-6,3
"PF00041.24",-5,1
"PF00041.24",-4,1
"PF00041.24",-3,1
"PF00041.24",-1,246
"PF00041.24",1,10
"PF00041.24",4,3
"PF00041.24",5,12
"PF00041.24",6,9
"PF00041.24",7,10
"PF00041.24",8,5
"PF00041.24",9,3
"PF00041.24",11,5
"PF00041.24",14,1
"PF00041.24",498,1
"PF00041.24",572,1
"PF00047.28",-750,1
"PF00047.28",-735,1
"PF00047.28",-732,1
"PF00047.28",-729,1
"PF00047.28",-679,1
"PF00047.28",-593,1
"PF00047.28",-520,1
"PF00047.28",-468,1
"PF00047.28",-10,1
"PF00047.28",-6,2
"PF00047.28",1,5
"PF00047.28",2,1
"PF00047.28",3,1
"PF00047.28",4,24
"PF00047.28",5,4
"PF00047.28",6,21
"PF00047.28",7,7
"PF00047.28",8,2
"PF00047.28",9,11
"PF00047.28",11,3
"PF00047.28",613,1
"PF00047.28",757,1
"PF00047.28",913,1
"PF00047.28",1325,1
"PF00047.28",1808,1
"PF00052.21",-47,4
"PF00052.21",-44,8
"PF00052.21",-41,1
"PF00054.26",-177,1
"PF00054.26",-15,1
"PF00054.26",-14,3
"PF00054.26",-13,2
"PF00054.26",-7,2
"PF00054.26",-6,5
"PF00054.26",-5,2
"PF00054.26",-4,3
"PF00054.26",-2,14
"PF00054.26",-1,128
"PF00057.21",-12,1
"PF00057.21",-1,1
"PF00057.21",159,1
"PF00057.21",325,1
"PF00057.21",326,1
"PF00057.21",342,1
"PF00057.21",418,1
"PF00057.21",431,1
"PF00057.21",461,1
"PF00057.21",468,1
"PF00057.21",524,1
"PF00057.21",532,1
"PF00057.21",545,1
"PF00057.21",553,1
"PF00057.21",572,1
"PF00057.21",577,2
"PF00057.21",584,1
"PF00057.21",605,1
"PF00057.21",661,1
"PF00057.21",673,1
"PF00058.20",-1345,1
"PF00058.20",-660,1
"PF00058.20",-4,1
"PF00063.24",-107,2
"PF00067.25",-3,1
"PF00067.25",1,4
"PF00067.25",4,1
"PF00067.25",5,1
"PF00067.25",10,1
"PF00067.25",13,1
"PF00067.25",21,2
"PF00069.28",-77,1
"PF00069.28",-23,1
"PF00069.28",-7,1
"PF00071.25",-1,2
"PF00071.25",1,1
"PF00076.25",-1,1
"PF00076.25",1,2
"PF00076.25",12,1
"PF00076.25",26,1
"PF00078.30",-104,1
"PF00078.30",-3,1
"PF00080.23",-9,1
"PF00080.23",-4,2
"PF00089.29",-64,1
"PF00089.29",-19,1
"PF00089.29",-1,1
"PF00089.29",3,1
"PF00089.29",6,2
"PF00089.29",7,1
"PF00089.29",11,1
"PF00089.29",23,1
"PF00090.22",-3,3
"PF00090.22",-2,2
"PF00090.22",-1,47
"PF00092.31",-31,1
"PF00092.31",-7,3
"PF00092.31",-6,1
"PF00092.31",-4,1
"PF00092.31",-1,2
"PF00092.31",3,5
"PF00092.31",13,1
"PF00092.31",17,1
"PF00092.31",25,1
"PF00094.28",1,1
"PF00094.28",25,1
"PF00094.28",38,1
"PF00100.26",17,1
"PF00100.26",28,2
"PF00100.26",54,1
"PF00106.28",27,1
"PF00106.28",28,1
"PF00106.28",37,1
"PF00106.28",38,2
"PF00106.28",41,1
"PF00106.28",44,1
"PF00106.28",59,1
"PF00106.28",62,2
"PF00106.28",63,1
"PF00106.28",72,1
"PF00107.29",-20,7
"PF00107.29",-7,1
"PF00107.29",-6,2
"PF00107.29",-5,4
"PF00107.29",-4,6
"PF00107.29",-1,1
"PF00117.31",-7,1
"PF00117.31",-6,1
"PF00117.31",-1,1
"PF00132.27",-3,1
"PF00132.27",1,1
"PF00132.27",6,1
"PF00149.31",-7,1
"PF00149.31",-3,3
"PF00149.31",-1,3
"PF00149.31",9,1
"PF00149.31",10,2
"PF00149.31",11,2
"PF00149.31",14,2
"PF00149.31",15,4
"PF00149.31",17,3
"PF00168.33",-13,3
"PF00168.33",-10,4
"PF00168.33",-9,1
"PF00168.33",-8,3
"PF00168.33",-7,1
"PF00168.33",-6,8
"PF00168.33",-5,2
"PF00168.33",-4,1
