"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",-9,1
"PF00004.32",-8,1
"PF00004.32",26,1
"PF00004.32",28,1
"PF00004.32",61,1
"PF00004.32",62,1
"PF00004.32",63,1
"PF00004.32",67,1
"PF00004.32",70,1
"PF00005.30",-63,1
"PF00005.30",-44,1
"PF00005.30",-42,1
"PF00005.30",-41,2
"PF00005.30",-39,2
"PF00005.30",-36,1
"PF00005.30",-35,2
"PF00005.30",-34,1
"PF00005.30",-33,2
"PF00005.30",-32,2
"PF00005.30",-29,1
"PF00005.30",-28,1
"PF00005.30",-24,1
"PF00005.30",-23,2
"PF00005.30",-22,1
"PF00005.30",-21,17
"PF00005.30",-20,1
"PF00005.30",-19,4
"PF00005.30",-18,3
"PF00005.30",-16,8
"PF00005.30",-15,8
"PF00005.30",-14,14
"PF00005.30",-13,21
"PF00005.30",-12,11
"PF00005.30",-11,27
"PF00005.30",-10,21
"PF00005.30",-9,2
"PF00005.30",-8,8
"PF00005.30",-3,2
"PF00005.30",18,3
"PF00005.30",19,5
"PF00005.30",20,15
"PF00005.30",21,51
"PF00005.30",22,27
"PF00005.30",23,28
"PF00005.30",24,16
"PF00005.30",25,6
"PF00005.30",26,8
"PF00005.30",28,2
"PF00005.30",33,1
"PF00005.30",36,5
"PF00005.30",37,4
"PF00005.30",38,17
"PF00005.30",39,4
"PF00005.30",40,3
"PF00005.30",41,15
"PF00005.30",42,10
"PF00005.30",43,2
"PF00005.30",44,2
"PF00005.30",45,1
"PF00005.30",46,1
"PF00005.30",48,1
"PF00005.30",55,1
"PF00005.30",91,1
"PF00013.32",1,1
"PF00013.32",17,1
"PF00013.32",20,1
"PF00025.24",-33,1
"PF00025.24",-19,1
"PF00026.26",-152,1
"PF00026.26",-146,1
"PF00026.26",-88,1
"PF00026.26",-63,1
"PF00026.26",-54,1
"PF00026.26",-48,1
"PF00026.26",-16,1
"PF00026.26",-9,1
"PF00026.26",-7,2
"PF00026.26",-6,1
"PF00026.26",-3,1
"PF00026.26",1,1
"PF00026.26",8,1
"PF00044.27",10,2
"PF00044.27",13,2
"PF00063.24",89,1
"PF00063.24",124,1
"PF00067.25",-230,1
"PF00067.25",-29,1
"PF00067.25",1,5
"PF00067.25",3,1
"PF00067.25",4,6
"PF00067.25",5,2
"PF00067.25",7,3
"PF00067.25",8,4
"PF00067.25",9,3
"PF00067.25",10,5
"PF00067.25",11,5
"PF00067.25",12,2
"PF00067.25",13,5
"PF00067.25",14,1
"PF00067.25",16,3
"PF00067.25",17,5
"PF00067.25",18,7
"PF00067.25",19,3
"PF00067.25",20,6
"PF00067.25",21,3
"PF00067.25",22,1
"PF00067.25",23,2
"PF00067.25",24,3
"PF00067.25",25,1
"PF00067.25",26,1
"PF00069.28",-89,1
"PF00069.28",-44,2
"PF00069.28",-22,1
"PF00069.28",-4,1
"PF00069.28",-3,1
"PF00069.28",1,2
"PF00069.28",3,1
"PF00069.28",20,1
"PF00069.28",70,1
"PF00069.28",109,1
"PF00069.28",338,1
"PF00071.25",-38,1
"PF00071.25",-31,1
"PF00071.25",18,1
"PF00072.27",24,2
"PF00075.27",-1,2
"PF00075.27",16,1
"PF00076.25",-115,1
"PF00076.25",-13,1
"PF00076.25",1,11
"PF00076.25",8,1
"PF00076.25",19,1
"PF00076.25",25,1
"PF00076.25",29,1
"PF00076.25",31,1
"PF00076.25",63,1
"PF00078.30",-230,1
"PF00078.30",-32,1
"PF00078.30",-7,2
"PF00078.30",-5,1
"PF00078.30",18,7
"PF00078.30",49,1
"PF00078.30",73,1
"PF00080.23",-4,3
"PF00080.23",-3,1
"PF00080.23",30,1
"PF00082.25",-160,1
"PF00082.25",-154,1
"PF00082.25",-61,1
"PF00082.25",-23,1
"PF00082.25",1,3
"PF00082.25",5,1
"PF00082.25",9,1
"PF00082.25",12,1
"PF00082.25",15,1
"PF00082.25",16,1
"PF00082.25",17,1
"PF00082.25",18,1
"PF00082.25",19,2
"PF00082.25",20,1
"PF00082.25",21,2
"PF00082.25",23,3
"PF00085.23",-51,1
"PF00085.23",-38,1
"PF00085.23",-27,1
"PF00085.23",-5,1
"PF00085.23",-4,1
"PF00085.23",-3,1
"PF00089.29",-33,1
"PF00089.29",-5,4
"PF00089.29",-1,2
"PF00106.28",-30,1
"PF00106.28",-25,1
"PF00106.28",-22,1
"PF00106.28",-6,1
"PF00106.28",20,1
"PF00106.28",24,1
"PF00106.28",40,3
"PF00106.28",43,4
"PF00106.28",48,1
"PF00106.28",50,1
"PF00106.28",58,1
"PF00106.28",63,1
"PF00106.28",67,1
"PF00106.28",68,1
"PF00107.29",-21,4
"PF00107.29",-20,5
"PF00107.29",-7,1
"PF00107.29",-6,4
"PF00107.29",-5,9
"PF00107.29",-4,5
"PF00107.29",-3,3
"PF00107.29",-1,2
"PF00112.26",-35,1
"PF00112.26",-23,1
"PF00112.26",-21,1
"PF00112.26",-20,1
"PF00117.31",-58,1
"PF00117.31",-13,1
"PF00117.31",-6,5
"PF00117.31",-1,2
"PF00118.27",-1,1
"PF00118.27",108,1
"PF00120.27",-35,1
"PF00120.27",-34,2
"PF00120.27",-16,1
"PF00120.27",-7,1
"PF00122.23",1,3
"PF00122.23",7,1
"PF00122.23",22,1
"PF00128.27",-21,1
"PF00128.27",-7,1
"PF00132.27",-33,1
"PF00132.27",-16,4
"PF00132.27",-12,1
"PF00132.27",-1,1
"PF00132.27",1,2
"PF00132.27",3,4
"PF00132.27",6,1
"PF00132.27",8,2
"PF00132.27",9,1
"PF00132.27",12,1
"PF00132.27",14,1
"PF00132.27",17,1
"PF00135.31",-13,1
"PF00135.31",19,1
"PF00149.31",-9,2
"PF00149.31",-8,2
"PF00149.31",-7,2
"PF00149.31",-6,1
"PF00149.31",-3,7
"PF00149.31",10,1
"PF00149.31",11,10
"PF00149.31",12,4
"PF00149.31",13,1
"PF00149.31",15,2
"PF00149.31",16,1
"PF00149.31",22,1
"PF00149.31",27,1
