"Domain","Distance.Domain.Motif","ocurrences"
"PF00004.32",-1,3
"PF00004.32",1,1
"PF00004.32",23,1
"PF00004.32",72,1
"PF00005.30",-48,1
"PF00005.30",-42,1
"PF00005.30",-38,3
"PF00005.30",-36,1
"PF00005.30",-35,1
"PF00005.30",-34,1
"PF00005.30",-32,1
"PF00005.30",-29,3
"PF00005.30",-28,1
"PF00005.30",-27,1
"PF00005.30",-26,1
"PF00005.30",-25,1
"PF00005.30",-23,3
"PF00005.30",-22,7
"PF00005.30",-21,7
"PF00005.30",-20,1
"PF00005.30",-19,6
"PF00005.30",-18,2
"PF00005.30",-17,7
"PF00005.30",-16,10
"PF00005.30",-15,17
"PF00005.30",-14,6
"PF00005.30",-13,19
"PF00005.30",-12,8
"PF00005.30",-11,12
"PF00005.30",-10,20
"PF00005.30",-9,5
"PF00005.30",-8,5
"PF00005.30",18,1
"PF00005.30",19,6
"PF00005.30",20,8
"PF00005.30",21,63
"PF00005.30",22,27
"PF00005.30",23,19
"PF00005.30",24,14
"PF00005.30",25,2
"PF00005.30",26,4
"PF00005.30",33,1
"PF00005.30",36,3
"PF00005.30",37,2
"PF00005.30",38,18
"PF00005.30",39,3
"PF00005.30",40,4
"PF00005.30",41,14
"PF00005.30",42,5
"PF00005.30",43,5
"PF00005.30",44,2
"PF00026.26",-52,1
"PF00026.26",-49,1
"PF00026.26",-43,1
"PF00026.26",-29,1
"PF00026.26",-21,1
"PF00026.26",-20,2
"PF00026.26",-15,1
"PF00026.26",-13,1
"PF00026.26",-9,1
"PF00026.26",-7,3
"PF00026.26",-6,1
"PF00026.26",-4,1
"PF00026.26",1,2
"PF00026.26",21,1
"PF00067.25",1,7
"PF00067.25",3,3
"PF00067.25",4,2
"PF00067.25",5,6
"PF00067.25",6,6
"PF00067.25",7,5
"PF00067.25",8,2
"PF00067.25",9,6
"PF00067.25",10,10
"PF00067.25",11,2
"PF00067.25",12,4
"PF00067.25",13,6
"PF00067.25",14,5
"PF00067.25",15,1
"PF00067.25",16,2
"PF00067.25",17,1
"PF00067.25",18,6
"PF00067.25",19,6
"PF00067.25",20,1
"PF00067.25",21,1
"PF00067.25",22,1
"PF00069.28",-574,1
"PF00069.28",-199,1
"PF00069.28",-122,1
"PF00069.28",-1,1
"PF00069.28",1,1
"PF00072.27",-14,1
"PF00072.27",-4,1
"PF00075.27",-1,2
"PF00076.25",1,4
"PF00076.25",25,1
"PF00078.30",-83,1
"PF00078.30",111,1
"PF00078.30",138,1
"PF00079.23",1,1
"PF00079.23",33,2
"PF00080.23",-6,1
"PF00080.23",-4,2
"PF00082.25",1,2
"PF00082.25",5,1
"PF00082.25",8,1
"PF00082.25",19,1
"PF00082.25",21,2
"PF00082.25",22,6
"PF00082.25",23,2
"PF00082.25",25,1
"PF00082.25",28,1
"PF00085.23",-10,1
"PF00085.23",14,1
"PF00089.29",-27,1
"PF00089.29",-23,1
"PF00089.29",-19,1
"PF00089.29",-7,1
"PF00089.29",-6,1
"PF00089.29",-5,4
"PF00089.29",-1,2
"PF00106.28",-1,1
"PF00106.28",23,1
"PF00106.28",29,1
"PF00106.28",31,1
"PF00106.28",33,1
"PF00106.28",35,1
"PF00106.28",36,1
"PF00106.28",43,1
"PF00106.28",44,2
"PF00106.28",48,1
"PF00106.28",55,1
"PF00106.28",57,1
"PF00107.29",-21,4
"PF00107.29",-20,5
"PF00107.29",-6,2
"PF00107.29",-5,8
"PF00107.29",-4,9
"PF00107.29",-3,1
"PF00107.29",-1,2
"PF00112.26",-24,1
"PF00112.26",1,1
"PF00112.26",3,1
"PF00112.26",42,1
"PF00117.31",-40,1
"PF00117.31",-17,1
"PF00117.31",-6,3
"PF00117.31",-1,1
"PF00120.27",-37,2
"PF00120.27",-36,1
"PF00120.27",-35,1
"PF00132.27",-22,1
"PF00132.27",-17,1
"PF00132.27",-16,5
"PF00132.27",-12,2
"PF00132.27",-10,1
"PF00132.27",-4,1
"PF00132.27",1,3
"PF00132.27",3,4
"PF00132.27",5,2
"PF00132.27",6,2
"PF00132.27",11,1
"PF00132.27",12,2
"PF00132.27",13,1
"PF00132.27",25,1
"PF00149.31",-12,1
"PF00149.31",-9,3
"PF00149.31",-8,3
"PF00149.31",-7,1
"PF00149.31",-6,2
"PF00149.31",-3,7
"PF00149.31",-1,1
"PF00149.31",10,2
"PF00149.31",11,7
"PF00149.31",12,8
"PF00149.31",15,2
"PF00149.31",16,2
"PF00149.31",20,1
"PF00149.31",22,1
"PF00149.31",25,1
"PF00149.31",27,1
"PF00155.24",-55,1
"PF00155.24",-54,1
"PF00156.30",7,1
"PF00156.30",11,1
"PF00156.30",15,1
"PF00160.24",-5,1
"PF00160.24",-4,1
"PF00160.24",-1,1
"PF00168.33",6,3
"PF00168.33",7,1
"PF00168.33",10,2
"PF00168.33",11,3
"PF00168.33",12,12
"PF00168.33",13,2
"PF00168.33",14,4
"PF00168.33",15,4
"PF00168.33",17,9
"PF00168.33",18,2
"PF00168.33",20,1
"PF00168.33",21,1
"PF00168.33",24,1
"PF00168.33",25,3
"PF00168.33",67,1
"PF00171.25",-7,1
"PF00171.25",-1,4
"PF00171.25",68,1
"PF00175.24",-1,8
"PF00175.24",27,2
"PF00175.24",36,1
"PF00176.26",136,1
"PF00176.26",138,1
"PF00176.26",149,1
"PF00176.26",167,2
"PF00176.26",183,1
"PF00176.26",187,1
"PF00176.26",202,1
"PF00176.26",225,1
"PF00176.26",233,1
"PF00176.26",242,1
"PF00176.26",267,1
"PF00176.26",283,1
"PF00176.26",285,1
"PF00176.26",310,1
"PF00182.22",1,1
"PF00182.22",7,1
"PF00182.22",8,1
"PF00190.25",33,1
"PF00190.25",47,1
"PF00201.21",-105,1
"PF00201.21",-86,1
"PF00201.21",-84,1
"PF00201.21",-81,1
"PF00201.21",-62,1
"PF00201.21",-61,2
"PF00201.21",-60,1
"PF00201.21",-51,1
"PF00201.21",-50,1
"PF00201.21",-42,1
"PF00201.21",-34,1
"PF00201.21",-22,2
"PF00201.21",-21,1
"PF00201.21",-18,1
"PF00201.21",-17,1
"PF00201.21",-11,1
"PF00201.21",-5,1
"PF00225.26",-29,1
"PF00225.26",-26,1
"PF00225.26",-21,1
"PF00225.26",69,1
"PF00240.26",-37,1
"PF00240.26",-17,1
"PF00240.26",-5,1
"PF00240.26",29,1
"PF00254.31",-9,1
"PF00254.31",-5,1
"PF00254.31",-4,1
"PF00270.32",8,18
"PF00270.32",9,6
"PF00270.32",10,6
"PF00270.32",11,6
"PF00270.32",12,5
"PF00270.32",13,1
"PF00270.32",14,1
"PF00270.32",15,2
"PF00270.32",16,3
"PF00270.32",18,1
"PF00270.32",20,1
"PF00270.32",40,1
"PF00270.32",84,1
"PF00270.32",110,1
"PF00271.34",-672,1
"PF00271.34",-49,1
"PF00271.34",-44,1
"PF00271.34",-43,1
"PF00271.34",-3,1
"PF00271.34",1,57
"PF00271.34",3,10
"PF00271.34",4,13
"PF00271.34",5,22
"PF00271.34",6,6
"PF00271.34",7,5
"PF00271.34",8,1
"PF00271.34",9,1
"PF00288.29",-45,2
"PF00293.31",-16,1
"PF00293.31",-15,2
"PF00293.31",-3,1
"PF00293.31",-1,1
"PF00294.27",-45,1
"PF00294.27",-41,1
"PF00294.27",-36,1
"PF00294.27",-35,1
"PF00294.27",-32,1
"PF00294.27",-28,1
"PF00294.27",-27,1
"PF00294.27",-15,2
"PF00294.27",-13,1
"PF00294.27",-4,1
"PF00294.27",-3,1
"PF00295.20",-35,1
"PF00295.20",-32,1
"PF00295.20",-21,2
"PF00295.20",-20,1
"PF00295.20",1,13
"PF00295.20",3,3
"PF00295.20",4,4
"PF00295.20",5,1
"PF00295.20",7,1
"PF00295.20",9,1
"PF00295.20",10,3
"PF00295.20",11,1
"PF00295.20",14,1
"PF00295.20",16,1
"PF00295.20",18,1
"PF00295.20",21,2
"PF00295.20",28,1
"PF00300.25",-150,1
"PF00300.25",14,1
"PF00300.25",41,1
"PF00300.25",137,1
"PF00305.22",9,5
"PF00305.22",14,1
"PF00314.20",-85,1
"PF00314.20",-1,18
"PF00324.24",-29,2
"PF00324.24",-26,1
"PF00324.24",-25,1
"PF00326.24",-69,1
"PF00326.24",-41,1
"PF00326.24",-28,1
"PF00326.24",-16,1
"PF00326.24",-15,1
"PF00326.24",-13,1
"PF00326.24",-12,1
"PF00326.24",-11,1
"PF00326.24",-10,1
"PF00326.24",8,1
"PF00361.23",14,2
"PF00364.25",-8,1
"PF00364.25",-7,1
"PF00378.23",-12,1
"PF00378.23",-9,1
"PF00378.23",-8,1
"PF00383.26",6,1
"PF00383.26",29,1
"PF00389.33",-29,1
"PF00389.33",-9,1
"PF00389.33",-1,1
"PF00394.25",-28,1
"PF00394.25",6,1
"PF00394.25",21,1
"PF00400.35",-13,1
"PF00400.35",-11,1
"PF00400.35",9,1
"PF00406.25",1,4
"PF00443.32",9,1
"PF00443.32",17,1
"PF00443.32",21,1
"PF00443.32",22,5
"PF00443.32",24,1
"PF00443.32",48,1
"PF00443.32",50,1
"PF00445.21",11,3
"PF00445.21",13,1
