"Domain","Distance.Domain.Motif","ocurrences"
"PF00005.30",-89,1
"PF00005.30",-47,1
"PF00005.30",-45,2
"PF00005.30",-44,1
"PF00005.30",-42,3
"PF00005.30",-41,1
"PF00005.30",-36,1
"PF00005.30",-33,1
"PF00005.30",-25,1
"PF00005.30",-23,2
"PF00005.30",-22,1
"PF00005.30",-20,1
"PF00005.30",-19,1
"PF00005.30",-18,5
"PF00005.30",-17,2
"PF00005.30",-16,6
"PF00005.30",-15,4
"PF00005.30",-14,3
"PF00005.30",-13,8
"PF00005.30",-12,13
"PF00005.30",-11,7
"PF00005.30",-10,11
"PF00005.30",-9,4
"PF00005.30",-8,2
"PF00005.30",18,1
"PF00005.30",19,8
"PF00005.30",20,5
"PF00005.30",21,20
"PF00005.30",22,14
"PF00005.30",23,30
"PF00005.30",24,2
"PF00005.30",25,2
"PF00005.30",26,9
"PF00005.30",36,2
"PF00005.30",37,1
"PF00005.30",38,1
"PF00005.30",39,6
"PF00005.30",40,5
"PF00005.30",41,4
"PF00005.30",42,3
"PF00005.30",43,3
"PF00005.30",44,3
"PF00005.30",46,7
"PF00025.24",-62,1
"PF00025.24",-1,1
"PF00067.25",1,2
"PF00069.28",-1402,1
"PF00069.28",-1161,1
"PF00069.28",-153,1
"PF00069.28",-5,1
"PF00069.28",11,1
"PF00071.25",-218,1
"PF00071.25",-123,1
"PF00071.25",-75,1
"PF00071.25",-61,1
"PF00071.25",-31,1
"PF00071.25",-30,1
"PF00071.25",-15,1
"PF00071.25",-2,1
"PF00071.25",-1,2
"PF00071.25",98,1
"PF00071.25",119,1
"PF00078.30",-211,1
"PF00078.30",-53,1
"PF00078.30",-13,1
"PF00078.30",-12,1
"PF00078.30",1,2
"PF00080.23",-21,1
"PF00080.23",-12,1
"PF00080.23",-3,3
"PF00082.25",-129,1
"PF00082.25",5,1
"PF00106.28",13,1
"PF00106.28",17,1
"PF00106.28",29,1
"PF00106.28",37,1
"PF00106.28",41,2
"PF00106.28",53,4
"PF00106.28",54,1
"PF00106.28",55,1
"PF00106.28",169,1
"PF00106.28",195,1
"PF00106.28",205,1
"PF00107.29",-20,1
"PF00107.29",-7,2
"PF00107.29",-6,3
"PF00107.29",-5,3
"PF00107.29",-4,5
"PF00107.29",-1,3
"PF00107.29",17,2
"PF00117.31",-36,1
"PF00117.31",-13,1
"PF00117.31",-6,1
"PF00117.31",-1,1
"PF00118.27",-103,1
"PF00118.27",102,1
"PF00132.27",-24,1
"PF00132.27",-22,3
"PF00132.27",1,2
"PF00132.27",3,1
"PF00132.27",4,1
"PF00144.27",1,2
"PF00149.31",-3,2
"PF00149.31",10,3
"PF00149.31",12,1
"PF00149.31",15,1
"PF00149.31",16,1
"PF00149.31",18,1
"PF00149.31",20,1
"PF00149.31",69,1
"PF00149.31",90,1
"PF00150.21",-22,1
"PF00150.21",-11,1
"PF00155.24",-33,1
"PF00155.24",-21,1
"PF00156.30",4,1
"PF00156.30",9,2
"PF00156.30",10,1
"PF00160.24",-1,1
"PF00160.24",35,1
"PF00168.33",7,1
"PF00168.33",10,2
"PF00168.33",11,1
"PF00168.33",12,1
"PF00168.33",13,2
"PF00168.33",24,1
"PF00168.33",75,1
"PF00169.32",-432,1
"PF00169.32",1,1
"PF00169.32",373,1
"PF00171.25",-7,2
"PF00171.25",-1,4
"PF00171.25",4,1
"PF00175.24",-1,2
"PF00175.24",30,2
"PF00175.24",41,1
"PF00175.24",60,1
"PF00176.26",140,1
"PF00176.26",163,1
"PF00176.26",169,1
"PF00176.26",172,1
"PF00176.26",177,1
"PF00176.26",182,1
"PF00176.26",274,1
"PF00176.26",278,1
"PF00176.26",399,1
"PF00176.26",431,1
"PF00176.26",497,1
"PF00270.32",8,4
"PF00270.32",9,4
"PF00270.32",10,6
"PF00270.32",11,3
"PF00270.32",12,1
"PF00270.32",13,1
"PF00270.32",14,2
"PF00270.32",16,2
"PF00270.32",18,1
"PF00270.32",35,1
"PF00270.32",76,1
"PF00270.32",103,1
"PF00270.32",152,1
"PF00271.34",-105,1
"PF00271.34",-103,1
"PF00271.34",-44,1
"PF00271.34",-25,1
"PF00271.34",1,23
"PF00271.34",3,4
"PF00271.34",4,5
"PF00271.34",5,14
"PF00271.34",6,5
"PF00271.34",7,3
"PF00293.31",-65,1
"PF00293.31",-13,1
"PF00293.31",-1,1
"PF00293.31",16,1
"PF00300.25",-341,1
"PF00300.25",-1,1
"PF00300.25",21,1
"PF00300.25",101,1
"PF00300.25",103,1
"PF00326.24",-65,1
"PF00326.24",-47,1
"PF00326.24",-19,1
"PF00326.24",-18,1
"PF00326.24",-12,1
"PF00350.26",27,1
"PF00350.26",30,1
"PF00378.23",-7,1
"PF00378.23",-2,1
"PF00383.26",27,1
"PF00383.26",35,1
"PF00443.32",-1,2
"PF00443.32",12,1
"PF00476.23",-160,1
"PF00476.23",-1,2
"PF00481.24",-11,1
"PF00481.24",1,2
"PF00483.26",-8,1
"PF00483.26",-4,1
"PF00483.26",60,1
"PF00483.26",65,1
"PF00488.24",-1,2
"PF00535.29",-18,1
"PF00535.29",17,1
"PF00535.29",20,1
"PF00535.29",27,1
"PF00535.29",32,1
"PF00535.29",60,1
"PF00535.29",79,1
"PF00535.29",95,1
"PF00549.22",-1,3
"PF00561.23",-28,1
"PF00561.23",-25,1
"PF00561.23",-18,1
"PF00561.23",-1,1
"PF00561.23",16,1
"PF00561.23",53,1
"PF00561.23",105,1
"PF00561.23",131,1
"PF00587.28",-24,1
"PF00587.28",46,1
"PF00626.25",-9,1
"PF00626.25",-8,1
"PF00626.25",-5,1
"PF00644.23",-319,1
"PF00644.23",-48,1
"PF00644.23",1,1
"PF00644.23",13,1
"PF00644.23",34,1
"PF00665.29",-21,4
"PF00665.29",-16,1
"PF00686.22",1,1
"PF00686.22",3,2
"PF00686.22",9,1
"PF00686.22",206,1
"PF00698.24",-1,1
"PF00698.24",1,2
"PF00698.24",3,1
"PF00698.24",5,1
"PF00698.24",12,1
"PF00698.24",24,1
"PF00698.24",25,1
"PF00702.29",-303,1
"PF00702.29",87,1
"PF00702.29",90,1
"PF00702.29",91,1
"PF00702.29",113,1
"PF00702.29",127,1
"PF00704.31",-6,1
"PF00704.31",21,2
"PF00722.24",8,1
"PF00722.24",15,1
"PF00753.30",-18,1
"PF00753.30",-17,1
"PF00782.23",-1602,1
"PF00782.23",-136,1
"PF00782.23",-29,1
"PF00782.23",-11,1
"PF00782.23",-9,1
"PF00782.23",-4,1
"PF00795.25",-39,1
"PF00795.25",-21,1
"PF00795.25",-4,1
"PF00795.25",17,1
"PF00805.25",-14,1
"PF00805.25",-5,1
"PF00805.25",1,1
"PF00805.25",3,1
"PF00805.25",10,1
"PF00849.25",1,1
"PF00849.25",24,1
"PF00849.25",35,1
"PF00850.22",-14,3
"PF00850.22",-12,1
"PF00864.22",-35,1
"PF00864.22",-32,1
"PF00864.22",-20,1
"PF00888.25",24,1
"PF00888.25",29,1
"PF00890.27",-1,1
"PF00890.27",166,1
"PF01073.22",6,1
"PF01073.22",43,1
"PF01073.22",62,1
"PF01073.22",108,1
"PF01074.25",6,1
"PF01074.25",143,1
"PF01088.24",9,1
"PF01088.24",10,1
"PF01183.23",4,2
"PF01253.25",6,1
"PF01253.25",7,1
"PF01266.27",79,1
"PF01266.27",156,1
"PF01370.24",1,2
"PF01370.24",28,1
"PF01370.24",54,1
"PF01370.24",59,2
"PF01370.24",69,1
"PF01370.24",71,1
"PF01370.24",97,1
"PF01398.24",54,1
"PF01398.24",61,1
"PF01398.24",65,1
"PF01416.23",-113,1
"PF01416.23",-91,1
"PF01416.23",-50,1
"PF01416.23",-33,1
"PF01416.23",-14,1
"PF01433.23",-16,1
"PF01433.23",-11,1
"PF01459.25",1,1
"PF01459.25",3,1
"PF01546.31",-1,2
"PF01556.21",-130,1
"PF01556.21",-1,3
"PF01565.26",22,2
"PF01565.26",24,2
"PF01565.26",26,2
"PF01565.26",27,3
"PF01565.26",29,1
"PF01565.26",30,1
"PF01575.22",13,1
"PF01575.22",19,1
"PF01593.27",-25,1
"PF01593.27",-20,1
"PF01593.27",-6,1
"PF01593.27",48,1
"PF01593.27",67,1
"PF01612.23",-120,1
"PF01612.23",-89,1
"PF01612.23",-15,1
"PF01661.24",-5,1
"PF01661.24",-1,1
"PF01663.25",-177,1
"PF01663.25",-103,1
"PF01663.25",-38,1
"PF01663.25",9,1
"PF01678.22",-35,1
"PF01678.22",-28,1
"PF01704.21",1,2
"PF01715.20",-28,2
"PF01764.28",-37,1
"PF01764.28",-12,1
"PF01764.28",10,1
"PF01764.28",11,1
"PF01764.28",12,1
"PF01764.28",61,1
"PF01764.28",66,1
"PF01764.28",67,2
"PF01822.22",3,2
"PF01866.20",-1,2
"PF01918.24",23,1
"PF01918.24",24,1
"PF01926.26",-88,1
"PF01926.26",27,1
"PF01926.26",88,1
"PF01926.26",244,1
"PF01963.20",-384,1
"PF01963.20",-358,1
"PF01963.20",168,1
"PF01979.23",1,1
"PF01979.23",45,1
